Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,TRAFFIC CONTROL AND FIRST AID SERVICES SKEENA DISTRICT,334LM2101,ITQ,2020/02/06,2,2020/03/05,Gitxsan Safety Services,Hazelton,British Columbia,Canada,"$25,000.00",2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,Royal Pacific Petroleum Ltd.,Richmond,British Columbia,Canada,$0.00,2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,Sands Bulk Sales Ltd.,Prince George,British Columbia,Canada,$0.00,2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,Sarvair Fuels Ltd.,108 Mile Ranch,British Columbia,Canada,$0.00,2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,Valhalla Helicopters Inc.,Kelowna,British Columbia,Canada,$0.00,2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,Yellowhead Helicopters Ltd.,Prince George,British Columbia,Canada,$0.00,2020/04/01
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,TRAFFIC CONTROL AND FIRST AID SERVICES SKEENA DISTRICT,334LM2102,ITQ,2020/02/06,2,2020/03/05,Gitxsan Safety Services,Hazelton,British Columbia,Canada,"$25,000.00",2020/04/01
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Indigenous Liaison,31047FMCC-2020,NOI,2020/03/03,1,2020/03/13,Carlos Garibay - DBA The Road to Happy Destiny,Agassiz,British Columbia,Canada,"$55,000.00",2020/04/01
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Employment Readiness,35050FRCC-2020,NOI,2020/03/03,1,2020/03/13,John Howard Society of the Lower Mainland,Vancouver,British Columbia,Canada,"$20,000.00",2020/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF21BCWS,RMSA,2020/03/11,0,2020/03/31,Heliqwest Aviation Inc.,Sturgeon County,Alberta,Canada,$0.00,2020/04/01
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Third Party Administration of Benefits - Maple Ridge,TPA2020 MAPLE RIDGE,RFP,2020/02/28,1,2020/03/10,Triangle Community Resources Inc,Maple Ridge,British Columbia,Canada,"$27,750.00",2020/04/01
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Third Party Administration of Benefits - Merritt,TPA2020 MERRITT,ITQ,2020/02/28,2,2020/03/10,Ask Wellness Society,Merritt,British Columbia,Canada,"$13,500.00",2020/04/01
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Third Party Administration of Benefits - Mission,TPA2020 MISSION,RFP,2020/03/06,3,2020/03/10,Triangle Community Resources Inc,Mission,British Columbia,Canada,"$27,750.00",2020/04/01
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Third Party Administration of Benefits - West Kelowna,TPA2020 WEST KELOWNA,RFP,2020/03/05,3,2020/03/10,Partners In Resources Inc,West Kelowna,British Columbia,Canada,"$67,200.00",2020/04/01
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Third Party Administration of Benefits - Williams Lake,TPA2020 WILLIAMS LAK,ITQ,2020/02/28,2,2020/03/10,Canadian Mental Health Association - Cariboo Chilcotin Branch,Williams Lake,British Columbia,Canada,"$22,878.00",2020/04/01
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Pavement Management Services,CMB20200214,RFP,2020/03/05,4,2020/03/06,WSP Canada Ltd.,Vancouver,British Columbia,Canada,"$200,000.00",2020/04/01
