Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
BC Timber Sales Branch ,Skeena ,SD24TIH201 - Multiphase Block and Road Development and Timber Reconnaissance in the Cascadia Timber Supply Area,SD24TIH201,Invitation to Tender,2023-04-19,1,2023-05-16,Fortec Consulting Ltd.,,"$359,873.99",2023-06-13
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Highway 1 Chemainus River Bridges No. 0129E/W Bridge Renewal,16659MJ0001,Invitation to Tender,2023-02-07,4,2023-03-31,Kingston Construction Ltd.,"9349 194 St, Surrey, British Columbia","$10,376,199.70",2023-04-19
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Coal Harbour Road at Quatsino FN Flood Mitigation,16889MJ0000,Invitation to Tender,2023-03-03,3,2023-04-18,CMF Construction Ltd.,,"$3,168,752.55",2023-05-03
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Eagleridge Drive Underpass No. 02341 and Caulfeild Drive Underpass No. 02343 Seismic Safety Retrofit,13083MJ2022,Invitation to Tender,2023-03-09,4,2023-04-19,Regehr Contracting Ltd. ,,"$2,077,000.00",2023-05-01
Ministry of Transportation and Infrastructure,South Coast Regional Office ,"Asphalt Road Resurfacing Highways, Highway 17 & McKenzie Avenue: Vanalman Avenue to Vernon Avenue (13.4 Lane Km) Burnside Road to Douglas Avenue (8.6 Lane Km)",17048MJ2023,Invitation to Tender,2023-04-04,0,2023-04-26,Island Asphalt,"P.O. BOX 1324, VICTORIA, British Columbia","$7,317,437.50",2023-05-04
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Asphalt Road Resurfacing Highways: H99 Whistler Area: Emerald Drive to Riverside Drive (13.0 Lane Km),13181MJ2023,Invitation to Tender,2023-04-04,0,2023-04-21,OKANAGAN AGGREGATES LTD.,"1504 Blattner Road, Armstrong, British Columbia","$3,721,139.79",2023-05-01
Ministry of Transportation and Infrastructure,South Coast Regional Office ,"Rock Slope Stabilization Kruger Hill Zones 1 to 2, Hwy 97",86002MJ4574,Invitation to Tender,2023-04-03,1,2023-05-04,Dynamite Construction Ltd,"2020 High Schylea Dr, Kamloops, British Columbia","$453,320.00",2023-05-11
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Asphalt Rd Resurfacing Highways: Central Island Parksville Area: H19 Superior Rd to Craigs Crossing (56 Lane Km),17052MJ2023,Invitation to Tender,2023-04-06,1,2023-05-05,O.K. Industries Ltd,"6702 Rajpur Pl, Saanichton, British Columbia","$11,865,895.00",2023-05-11
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Asphalt Resurfacing Highway 1 Coquitlam Area: Brunette River Bridge to Port Mann Bridge (64.2 Lane Km),13179MJ2023,Invitation to Tender,2023-04-03,2,2023-05-09,ALL ROADS CONSTRUCTION LTD.,"19402 54 Ave, Surrey, British Columbia","$10,863,863.63",2023-05-23
Ministry of Transportation and Infrastructure,South Coast Regional Office ,"Rock Slope Stabilization Coffee Creek Zones 1, 11 and 12, Hwy 31",86002MJ0254,Invitation to Tender,2023-04-19,0,2023-05-17,GEO-ROPE LIMITED,"135 Queens Plate Drive, Suite 600, Toronto, Ontario","$788,803.00",2023-05-25
Ministry of Transportation and Infrastructure,South Coast Regional Office ,08050 Peacock Brook Culvert Renewal Highway 99,12914MJ2023,Invitation to Tender,2023-04-21,1,2023-05-31,PW Trenchless Construction Inc,"Unit B-12343 104 Ave, Surrey, British Columbia","$1,633,360.55",2023-06-21
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Durable Pavement Markings - 2023,12542MJ2023,Invitation to Tender,2023-05-03,2,2023-06-06,Sutton Road Marking Ltd.,"Suite 404 - 1688 152 Street, Surrey, British Columbia","$2,132,007.25",2023-06-14
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Highway 3 Jaffray Overhead No. 01177 and Big Sand Creek Bridge No. 01179 Replacements and Approaches,25271MJ0000,Invitation to Tender,2023-04-12,3,2023-05-16,Emil Anderson Construction (EAC) Inc.,"966 Crowley Ave, Kelowna, British Columbia","$25,181,657.80",2023-05-24
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Hwy 5A Aspen Grove to Brake Check Asphalt Resurfacing (61.72 Lane Kms),26097MJ0000,Invitation to Tender,2023-03-31,1,2023-05-03,Dawson Construction Limited,"1212 McGill Road, Kamloops, British Columbia","$7,689,716.99",2023-05-10
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,OKANAGAN SHUSWAP PAVEMENT MARKING SA-08,24048MN0823,Invitation to Tender,2023-04-27,0,2023-05-11,Aardvark Pavement Marking Services,"100-3042 Sexsmith Road, KELOWNA, British Columbia","$151,525.30",2023-05-24
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,OKANAGAN SHUSWAP PAVEMENT MARKING SA-13,24048MN1323,Invitation to Tender,2023-05-02,0,2023-05-16,Aardvark Pavement Marking Services,"100-3042 Sexsmith Road, KELOWNA, British Columbia","$121,802.96",2023-05-24
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Highway 3A/Baker Street Intersection Improvements,25058MJ0001,Invitation to Tender,2023-03-29,0,2023-05-02,Marwest Industries Ltd.,"1700 A Woodland Drive , Castlegar, British Columbia","$3,116,261.41",2023-05-23
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Southern Interior Region 2023 Crack Seal Program,25899MJ2023,Invitation to Tender,2023-03-23,0,2023-04-14,Seal Tec Industries Ltd.,"9746 - 198B Street, LANGLEY, British Columbia","$897,660.00",2023-04-28
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,H906 - Halston Bridge No. 2810 Deck Resurfacing,25380MJ0000,Invitation to Tender,2023-03-27,2,2023-04-27,Cortez Construction Ltd.,"960 McMaster Way, Kamloops, British Columbia","$10,628,826.00",2023-05-11
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Hot-In-Place Recycling Hwy 5 Merritt to Helmer Road (122.9 Lane Kms),26134MJ0000,Invitation to Tender,2023-03-15,0,2023-04-04,ARC ASPHALT RECYCLING INC,"681 Athabasca St W, Kamloops, British Columbia","$7,151,538.00",2023-04-18
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Wardner Area and St. Mary's Lake Road Seal Coat (53.92 Lane Kms),26125MJ0000,Invitation to Tender,2023-03-10,1,2023-04-05,OKANAGAN AGGREGATES LTD.,"1504 Blattner Road, Armstrong, British Columbia","$5,763,590.00",2023-04-18
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,H3 Nighthawk to Osoyoos Resurfacing and Area Side Roads,26112MJ0000,Invitation to Tender,2023-03-15,1,2023-04-12,Peters Bros. Construction Ltd.,"716 Okanagan Avenue East |, Penticton, British Columbia","$12,534,211.00",2023-04-19
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,"Hwy 1 Albert Canyon West Bridge No. 1546 Rehabilitation, Hwy 1 Albert Canyon Hill East Wall No. 4412R Rehabilitation",25045MJ0000,Invitation to Tender,2023-03-06,3,2023-04-04,CWP Constructors Ltd.,"282 KASKA ROAD, SHERWOOD PARK, Alberta","$12,320,160.00",2023-06-01
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Asphalt Resurfacing  Hwy 1 Spences Bridge to Venables Valley Road (77.2 LANE KM),25087MJ0000,Invitation to Tender,2023-03-22,1,2023-04-06,Emil Anderson Construction (EAC) Inc.,"966 Crowley Ave, Kelowna, British Columbia","$9,232,207.75",2023-04-18
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Rocky Mountain District Transverse Pavement Marking – SA11 & SA12,22074MN0523,Invitation to Tender,2023-06-01,3,2023-06-15,Aardvark Pavement Marking Services,"100-3042 Sexsmith Road, KELOWNA, British Columbia","$169,246.90",2023-06-22
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Hagensborg Bridge No. 1332 Approach Span,24493MJ0001,Invitation to Tender,2023-04-28,1,2023-06-02,Formula Contractors Ltd.,"9157 Rock Island Road, Prince George, British Columbia","$1,907,390.00",2023-06-15
BC Timber Sales Branch ,Strait of Georgia ,BR24TCD022 - Manual Brushing - South Island,BR24TCD022,Invitation to Tender,2023-04-18,1,2023-05-16,Jet Forestry Services,"6114 Westridge Rd, Duncan, British Columbia","$122,550.00",2023-06-07
BC Timber Sales Branch ,Strait of Georgia ,IM24TCA008 - Resource Road and Bridge Construction / Maintenance / Deactivation Monitoring,IM24TCA008,Invitation to Tender,2023-03-23,0,2023-04-12,1197157 B.C. Ltd,"Apt 209 - 300 St Ann's Road, Campbell River, British Columbia","$62,740.00",2023-04-18
BC Timber Sales Branch ,Strait of Georgia ,"SD24TCB020 - Multiphase TSL Development, Jacklah River",SD24TCB020,Invitation to Tender,2023-03-21,0,2023-04-18,Little River Resources (2021) Ltd.,,"$403,200.00",2023-05-01
BC Timber Sales Branch ,Strait of Georgia ,SD24TCG006 - Tsitika and West Coast Multiphase,SD24TCG006,Invitation to Tender,2023-03-09,1,2023-04-06,H.A.F. Forest Services Inc.,"WALKER & WILSON, QUALICUM BEACH, British Columbia","$653,110.00",2023-04-27
BC Timber Sales Branch ,Strait of Georgia ,"SD24TCB005 - Multiphase TSL Development, Eve River",SD24TCB005,Invitation to Tender,2023-02-15,1,2023-03-14,Little River Resources (2021) Ltd.,,"$82,290.00",2023-04-04
BC Timber Sales Branch ,Strait of Georgia ,"EN24TCA017 - Road Maintenance, Deactivation and Construction, Sayward Forest and West Coast South",EN24TCA017,Invitation to Tender,2023-02-22,0,2023-04-03,Roc-Star Enterprises Ltd.,"3290 Third Avenue, Port Alberni, British Columbia","$426,737.50",2023-04-21
BC Timber Sales Branch ,Strait of Georgia ,EN24TCA009 - Professional Engineering Services,EN24TCA009,Request for Proposal,2023-02-10,0,2023-03-22,Onsite Engineering Ltd,"201-231 Trans Canada Highway, Salmon Arm, British Columbia","$260,400.00",2023-04-13
BC Timber Sales Branch ,Stuart-Nechako ,EN24TJE012 - Engineering Services,EN24TJE012,Invitation to Tender,2023-03-08,1,2023-04-04,Celtic Engineering Ltd,"#304 - 383 Oliver Street, Williams Lake BC, British Columbia","$89,490.00",2023-04-20
BC Timber Sales Branch ,Stuart-Nechako ,SU24TJE007 - FFT Post-Wildfire Treatment Plan Surveys,SU24TJE007,Invitation to Tender,2023-03-01,0,2023-03-21,Van Dolah Enterprises Inc.,"2417A Burrard Avenue, VANDERHOOF, British Columbia","$40,058.40",2023-04-13
