Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,req 8581 - Nissan Qashqai AWD S CVT (Prince George),5102350,Invitation to Quote,2023-06-16,0,2023-06-16,Bannister Nissan of Chilliwack,"8287 Young Rd, Chilliwack, British Columbia","$32,019.00",2023-06-16
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,req 8580 - 2023 Nissan Qashqai AWD S CVT - Terrace,5102349,Invitation to Quote,2023-06-16,0,2023-06-16,Bannister Nissan of Chilliwack,"8287 Young Rd, Chilliwack, British Columbia","$32,019.00",2023-06-16
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,2023 Nissan Qashqai AWD S CVT (Williams Lake),5102345,Invitation to Quote,2023-06-16,0,2023-06-16,Bannister Nissan of Chilliwack,"8287 Young Rd, Chilliwack, British Columbia","$32,019.00",2023-06-16
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,req 8561 - Mitsubishi Outlander ES S-AWC. NWP-ITQ Selector code B3-4  (Nanaimo),5100207,Invitation to Quote,2023-05-16,0,2023-05-16,"MITSUBISHI MOTOR SALES OF CANADA, INC.","2090 Matheson Blvd E, Mississauga, Ontario","$34,934.00",2023-05-18
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,req 8560 - Mitsubishi Outlander ES S-AWC. NWP-ITQ Selector code B3-4 (Kelowna),5100206,Invitation to Quote,2023-05-16,0,2023-05-16,"MITSUBISHI MOTOR SALES OF CANADA, INC.","2090 Matheson Blvd E, Mississauga, Ontario","$34,934.00",2023-05-18
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,Mitsubishi Outlander ES S-AWC. NWP-ITQ Selector code B3-4  (Chilliwack),5100204,Invitation to Quote,2023-05-17,0,2023-05-17,"MITSUBISHI MOTOR SALES OF CANADA, INC.","2090 Matheson Blvd E, Mississauga, Ontario","$34,934.00",2023-05-18
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,Mitsubishi Outlander ES S-AWC. NWP-ITQ Selector code B3-4,5100202,Invitation to Quote,2023-05-16,0,2023-05-16,"MITSUBISHI MOTOR SALES OF CANADA, INC.","2090 Matheson Blvd E, Mississauga, Ontario","$69,868.00",2023-05-18
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,Mitsubishi Outlander ES S-AWC. NWP-ITQ Selector code B3-4,5100195,Invitation to Quote,2023-05-15,0,2023-05-15,"MITSUBISHI MOTOR SALES OF CANADA, INC.","2090 Matheson Blvd E, Mississauga, Ontario","$69,868.00",2023-05-17
Ministry of Citizens' Services,Ministry of Transportation and Infrastructure,Demolition ADR-1017672,161814,Request for Submissions,2023-03-17,3,2023-04-13,GHOTRA EXCAVATING & TRUCKING LTD,"108 AVE, SURREY, British Columbia","$55,725.00",2023-04-21
Ministry of Transportation and Infrastructure,,"Cariboo District Thermoplastic, Crosshatch Paint and Gore Paint ",23353MJ2023,Invitation to Tender,2023-05-04,0,2023-06-07,Infinite Roadmarking Ltd,"Unit 108, 30755 Simpson Road, Unit 108, Abbotsford, British Columbia","$410,169.36",2023-06-16
