Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Procurement Services Branch ,,req. 55414 Supply up to four (4) 75KW DIESEL GENSET cw/ 400A CUSTOM PANEL,5090258,Invitation to Quote,2023-03-31,0,2023-03-03,Cullen Diesel Power Ltd.,"9300 192 ST
SURREY, BC V4N 3R8","$576,048.00",2023-03-30
Procurement Services Branch ,,BC Parks Vehicle Upfitting ,RFP8825,Request for Proposal,2023-01-31,1,2022-12-13,SIGMA SAFETY CORP.,"#140-4827 275 St., Langley, BC V4W 0C7","$1,100,000.00",2023-01-31
Procurement Services Branch ,,Coffee Bar and Café Services for the RBCM,8202,Request for Proposal,2023-02-17,0,2022-11-17,sequoia coffee,"105-740 Hillside Avenue
Victoria, BC, V8T 1Z4","$150,000.00",2023-02-17
Procurement Services Branch ,,"Replacing two legacy systems and a disparate collection of manually-maintained data sources (e.g.: spreadsheets, Access databases), it will support the Ministry with initiating and delivering ",ON-003579,Negotiated Procurement,2023-02-10,,,PROJECT EXECUTION GROUP INC,"Suite 615, 11012 Macleod Trail S., Calgary, AB, T2J 6A5 ","$8,436,640.00",2023-01-17
Product Distribution Centre ,,BCEHS Cleaner Car Wash Concentrate,6000076649,Request for Standing Arrangement,2022-10-20,0,2022-11-24,Sabre Industrial Supplies Ltd,"19272 96th Avenue, Unit 12, Surrey, British Columbia","$94,250.00",2023-01-01
Product Distribution Centre ,,Vyaire Medical Products,162818,Contract Award Notice,2023-03-31,0,2023-03-31,Cardinal Health Canada Inc,"1000 TESMA WAY, VAUGHAN, Ontario","$126,260.54",2023-02-01
Procurement Services Branch ,Provincial Equipment Depot - Pr. George ,Mobile Shower/Wash Trailers ,7019,Invitation to Quote,2022-10-03,2,2022-10-27,Manac Western,,"$625,600.00",2023-01-04
Ministry of Environment and Climate Change Strategy,Recreation Sites and Trails BC ,Recreation Site Maintenance- Revelstoke,156315,Request for Proposal,2023-01-17,1,2023-02-15,Cedar & Spruce Consulting Ltd.,"400 - 275 LAWRENCE AVENUE, KELOWNA, British Columbia","$11,500.00",2023-02-16
Ministry of Environment and Climate Change Strategy,Recreation Sites and Trails BC ,Recreation Site Maintenance- Revelstoke,156315,Request for Proposal,2023-01-17,1,2023-02-15,Cedar & Spruce Consulting Ltd.,"400 - 275 LAWRENCE AVENUE, KELOWNA, British Columbia","$11,500.00",2023-02-16
Ministry of Environment and Climate Change Strategy,Recreation Sites and Trails BC ,Recreation Site Maintenance - Central Okanagan,156361,Request for Proposal,2023-01-20,0,2023-02-28,CLEVER TRAIL DESIGN & CONSTRUCTION,"748 Arbutus Rd, Lumby, British Columbia","$14,850.00",2023-03-02
Ministry of Environment and Climate Change Strategy,Recreation Sites and Trails BC ,Recreation Site Maintenance - North Okanagan,156363,Request for Proposal,2023-01-20,0,2023-02-28,CLEVER TRAIL DESIGN & CONSTRUCTION,"748 Arbutus Rd, Lumby, British Columbia","$11,275.00",2023-03-02
Ministry of Environment and Climate Change Strategy,Recreation Sites and Trails BC ,Cougar Creek Dock Replacement - Gangway and Ramp Fabrication and Installation,12029,Invitation to Tender,2023-01-06,5,2023-02-03,BWS,,"$298,877.15",2023-02-09
Ministry of Forests,Recreation Sites and Trails BC ,"Engineer Reports on Flood Damage to Kettle Valley Rail Trail, Princeton to Brodie Siding",11496,Request for Proposal,2022-12-21,3,2023-01-31,MCELHANNEY LTD,"858 Beatty St, 200, Vancouver, British Columbia","$157,212.01",2023-03-16
Ministry of Forests,"Regional Operations, North Area ",GS23RSK023MY_RFP_District of Stewart Hazard Risk Assessment from Bitter Creek Glacial Lake Outburst Flood,10181,Request for Proposal,2022-12-08,1,2023-01-10,NHC,"30 GOSTICK PLACE, NORTH VANCOUVER, British Columbia","$99,480.00",2023-01-12
Ministry of Transportation and Infrastructure,South Coast Region ,Sumac Road Erosion Repairs,24652MJ0001,Invitation to Tender,2023-01-04,2,2023-02-15,TwinCon Enterprises Ltd. ,,"$2,185,230.38",2023-03-14
Ministry of Transportation and Infrastructure,South Coast Regional Office ,George Massey Tunnel Reversible Lane Control System Rehabilitation,13173MJ0001,Invitation to Tender,2023-02-02,2,2023-03-16,Paladin Technologies Inc.,"1350 - 355 Burrard St, Vancouver, British Columbia","$9,938,972.19",2023-03-22
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Highway No. 17 Keating Cross Flyover,16756MJ0001,Invitation to Tender,2023-01-16,3,2023-03-08,Flatiron Constructors Canada Limited,"210, 4020 Viking Way , Richmond, British Columbia","$54,596,732.00",2023-03-30
Ministry of Transportation and Infrastructure,South Coast Regional Office ,Othello Road and Peers Creek Riprap Supply (Nicolum Quarry),14093MJ0001,Invitation to Tender,2023-02-03,1,2023-03-02,Jakes Construction Ltd.,"7899 Prest Rd, Chilliwack, British Columbia","$5,107,500.00",2023-03-16
Ministry of Forests,Southern Engineering Group ,"Engineer Reports on Flood Damage to Kettle Valley Rail Trail, Princeton to Brodie Siding",11496,Request for Proposal,2022-12-21,3,2023-01-31,MCELHANNEY LTD,"858 Beatty St, 200, Vancouver, British Columbia","$157,212.01",2023-03-16
Ministry of Forests,Southern Engineering Group ,"Retaining Wall Installation (RWS-0051) at 1.2KM Gray Creek FSR, and Road works @ 2.2km and 7km Gray Creek FSR",11384,Invitation to Tender,2022-12-20,1,2023-01-31,Sorenson Excavating Ltd.,"1983 Glade Rd, Castlegar, British Columbia","$219,944.00",2023-02-09
Ministry of Forests,Southern Engineering Group ,"Bridge Replacement – N5-107A Eagle Creek, Worthington - Forest Service Road Contract Number EN24474001",10356,Invitation to Tender,2022-12-14,3,2023-01-27,Heavy Metal Marine Ltd.,,"$842,112.00",2023-02-15
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,West Kootenay District Transverse Pavement Marking,23024MJ0008,Invitation to Tender,2023-02-09,0,2023-03-10,Aardvark Pavement Marking Services,"100-3042 Sexsmith Road, KELOWNA, British Columbia","$264,785.00",2023-03-22
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,"Asphalt Surfacing Highway 1 Valleyview to Kokanee Way, Highway 5 Inks Lake Hill SB and Shuswap Road (97.3 Lane Km)",26120MJ0000,Invitation to Tender,2023-02-13,0,2023-03-08,Dawson Construction Limited,"1212 McGill Road, Kamloops, British Columbia","$9,858,672.61",2023-03-16
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Asphalt Resurfacing Hwy 5 Birch Island to Mad River (49.62 Lane KMS),26118MJ0000,Invitation to Tender,2023-02-09,1,2023-03-07,Emil Anderson Construction (EAC) Inc.,"966 Crowley Ave, Kelowna, British Columbia","$6,779,433.17",2023-03-16
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Asphalt Surfacing Highway 97C Silver Creek Chain-up to Pennask Brake Check and Side Roads (70.8 Lane KM),26119MJ0000,Invitation to Tender,2023-03-01,0,2023-03-22,OKANAGAN AGGREGATES LTD.,"1504 Blattner Road, Armstrong, British Columbia","$10,029,990.00",2023-03-28
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Southern Interior Region Rumble Strip Program,26104MJ2023,Invitation to Tender,2022-12-09,1,2023-01-24,DUNWELL INNOVATIONS INC,"510-1708 Dolphin Avenue, Kelowna, British Columbia","$349,086.10",2023-02-01
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Hot-In-Place Recycling Highway 97A Swan Lake I/C to Armstrong (57.0 Lane KMS),26115MJ0000,Invitation to Tender,2023-02-03,0,2023-02-28,Green Roads Recycling Ltd.,"5277 Highline Dr, Fernie, British Columbia","$3,529,563.50",2023-03-13
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Asphalt Surfacing Hwy 3A Nelson to Balfour and North Shore Side Roads (102.1 Lane Km),26095MJ0000,Invitation to Tender,2023-01-27,0,2023-02-22,Selkirk Paving,"1056 Playmor Rd, Crescent Valley, British Columbia","$14,667,597.45",2023-03-03
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Highway 6 West Kettle FSR to Brake Check Seal Coat (17.8 Lane KM),26122MJ0000,Invitation to Tender,2023-01-17,0,2023-02-09,Arrowsmith Road Maintenance Ltd.,"840 Industrial Way, Victoria, British Columbia","$883,318.00",2023-03-01
Ministry of Transportation and Infrastructure,Southern Interior Regional Office ,Asphalt Resurfacing Highway 97 - Plett Rd. to Ewing Rd. (54.3 Lane KM),26114MJ0000,Invitation to Tender,2023-01-16,1,2023-02-07,Dawson Construction Limited,"1212 McGill Road, Kamloops, British Columbia","$6,852,220.56",2023-02-27
Procurement Services Branch ,SPO: Executive Office,BC Bid SiteScope per Point SWE-LTU-Business Support(SP-AK419)End,5089887,Invitation to Quote,2023-02-02,0,2023-02-02,Micro Focus Software Solutions Canada Co.,,"$29,024.10",2023-03-13
BC Timber Sales Branch ,Strait of Georgia ,"PL24TCD001 - 2023 Spring Tree Planting, South Island Natural Resource District",PL24TCD001,Invitation to Tender,2022-11-30,0,2023-01-04,Leader Silviculture Ltd.,"850 Patterson Rd, Naramata, British Columbia","$144,336.00",2023-01-10
BC Timber Sales Branch ,Strait of Georgia ,"EN24TCA010 - Tsitika and Eve River Road Maintenance, Deactivation and Construction",EN24TCA010,Invitation to Tender,2023-01-26,0,2023-03-07,Far North Contracting Ltd.,"#103 - 300 ST. ANN'S ROAD, CAMPBELL RIVER, British Columbia","$600,300.00",2023-03-27
Procurement Services Branch ,Strait of Georgia ,"Req 54186 - Galvanized Steel Pipe ""CULVERTS""",158355,Invitation to Quote,2023-02-07,0,2023-02-07,Armtec,"30TH FLOOR, 360 MAIN STREET, WINNIPEG, Manitoba","$199,222.66",2023-02-15
BC Timber Sales Branch ,Stuart-Nechako ,SU24TJE006 - Silviculture Surveys in Fort St. James,SU24TJE006,Invitation to Tender,2023-02-02,1,2023-03-09,Van Dolah Enterprises Inc.,"2417A Burrard Avenue, VANDERHOOF, British Columbia","$97,687.90",2023-03-15
Ministry of Public Safety and Solicitor General,Vancouver Island Regional Correctional Centre ,INDIGENOUS CULTURAL LIASON- VANCOUVER ISLAND REGIONAL CORRECTIONAL CENTER (VIRCC),SGCORR2324BBC003,Request for Proposal,2023-02-02,0,2023-03-01,The John Howard Society of Victoria,"2675 Bridge St., Victoria, British Columbia","$112,000.00",2023-03-28
Ministry of Citizens' Services,Workplace Development Services ,Prime Consultant - Building Rehabilitation Project - Dawson Creek,6735,Request for Proposal,2022-09-12,2,2022-10-14,KMBR Architects Planners Inc.,"300 - 152 West Hastings Street, Vancouver, British Columbia","$485,275.00",2023-02-28
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
