Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Procurement Services Branch ,Ministry of Forests,"Req 55655 - Synthetic Leather Mechanics Glove with Padded Palm, 4 Sizes",5094958,Invitation to Quote,2023-03-08,0,2023-03-20,LGI Industrial and Construction Supplies ,"20120 Stewart Crescent, Maple Ridge, British Columbia","$99,820.00",2023-03-22
Procurement Services Branch ,Ministry of Forests,Req 54997 - ONE BRIDGE - IRON RIVER,5088856,Invitation to Quote,2023-01-19,0,2023-01-30,"Pioneer Precast Products, a  Division of IOTA Construction Ltd",,"$142,687.00",2023-02-09
Procurement Services Branch ,Ministry of Forests,Req 54994 - ONE BRIDGE - BROWNS BAY,5088853,Invitation to Quote,2023-01-19,0,2023-01-30,"Pioneer Precast Products, a  Division of IOTA Construction Ltd",,"$121,010.00",2023-02-09
Procurement Services Branch ,Ministry of Forests,Req 54821 - Modular Bridge Decks,5086666,Invitation to Quote,2023-01-06,1,2023-01-19,Toosey Old School Wood Products L.P.,", Riske Creek, British Columbia","$51,900.00",2023-01-25
Procurement Services Branch ,Ministry of Forests,One (1) 2023 White Mitsubishi Outlander,5086675,Invitation to Quote,2023-01-18,0,2023-01-18,"MITSUBISHI MOTOR SALES OF CANADA, INC.","2090 Matheson Blvd E, Mississauga, Ontario","$33,859.00",2023-02-01
Procurement Services Branch ,Ministry of Forests,Emergency Transport insert  - As per detailed Specifications and Requirements,5086704,Invitation to Quote,2023-01-10,0,2023-01-25,Express Custom Mfg.,"PO BOX 576, PARKSVILLE, British Columbia","$21,759.58",2023-01-30
Procurement Services Branch ,Ministry of Forests,Two (2) - Ford F150 Lightning Pro with Pro Trim - Standard,5085667,Invitation to Quote,2023-01-18,0,2023-01-18,"Ford Motor Company of Canada, Limited","The Canadian Rd , Oakville, Ontario","$172,280.00",2023-02-14
Procurement Services Branch ,Ministry of Forests,"Req 54869 - Design, Fabircate, Deliver 2 All Steel Portable Bridges - CK-2279A & CK-2589",5086721,Invitation to Quote,2023-01-11,0,2023-01-23,Mike Harasin,"5845 Todd Road, Kamloops, British Columbia","$323,000.00",2023-02-08
Ministry of Health,,RFPHL2023-008 - PROSTHETIST CONSULTANT,RFPHL2023-008,Request for Proposal,2022-10-05,0,2022-11-03,Brianna Myring,,"$45,000.00",2023-01-19
Ministry of Health,,Security Services,RFPHL2023-009,Request for Proposal,2022-12-02,1,2023-01-13,Garda Canada Security,,"$1,550,000.00",2023-03-16
Ministry of Health,,Security Services,RFPHL2023-009,Request for Proposal,2022-12-02,1,2023-01-13,Garda Canada Security,,"$1,550,000.00",2023-03-16
Procurement Services Branch ,Ministry of Health,Akamai Software Licences,5094968,Invitation to Quote,2023-03-10,0,2023-03-10,Carahsoft Technology Corporation,"11493 Sunset Hills Road, Suite 100, Reston, Virginia ","$109,003.44",2023-03-10
Procurement Services Branch ,Ministry of Health,Req 9459 - Symphonia Gold Annual Maintenance and Support Renewal,5095143,Invitation to Quote,2023-03-22,0,2023-03-22,Lyniate,"2900 – 595 Burrard Street, Vancouver, British Columbia","$9,430.68",2023-03-22
Procurement Services Branch ,Ministry of Health,Req 9461 - nCode Annual Maintenance and Support Renewal,5096102,Invitation to Quote,2023-03-28,0,2023-03-28,Nova Marketing Group Inc.,"1st Can Place, Toronto, Ontario","$12,305.00",2023-03-28
Procurement Services Branch ,Ministry of Health,Req 9460 - Microstrategy Annual Renewal of Maintenance and Support,162024,Invitation to Quote,2023-03-21,0,2023-03-21,MicroStrategy Services Corporation,"1850 Towers Cres Plaza, Tysons, Virginia ","$107,284.41",2023-03-21
Procurement Services Branch ,Ministry of Health,Jira Software (Server) 100 Users: Commercial License Renewal,5089870,Invitation to Quote,2023-01-27,0,2023-02-06,Highway Three Solutions Inc.,"4526 Viewmont Ave, Victoria, British Columbia","$7,697.76",2023-03-27
Procurement Services Branch ,Ministry of Housing,Cambian Maintenance & Support Renewal,5087905,Invitation to Quote,2023-02-01,0,2023-02-01,Cambian,"13450 102 Ave, Surrey, British Columbia","$71,500.00",2023-03-10
Procurement Services Branch ,Ministry of Indigenous Relations and Reconciliation,"Survey Services-•	Cheslatta Carrier Nation ",ON-MIRR-1,Request for Proposal,2023-02-01,0,2023-02-27,Allnorth,"SUITE 1810, 1111 WEST GEORGIA STREET, VANCOUVER, British Columbia","$248,890.00",2023-03-13
Ministry of Mental Health and Addictions,,Evaluation Planning and implementation - Integrated Child & Youth Teams,RFPMHA2023-001,Request for Proposal,2022-09-29,2,2022-10-27,Qatalyst Research,"W Cordova St 210-314 , Vancouver, British Columbia","$327,961.00",2023-02-01
Procurement Services Branch ,Ministry of Municipal Affairs,Zero turn EV lawn mover and accessories,5089912,Invitation to Quote,2023-02-09,0,2023-02-21,Fraser Valley Equipment Ltd.,,"$47,249.00",2023-02-23
Procurement Services Branch ,Ministry of Municipal Affairs,BC BID refuse truck,5094908,Invitation to Quote,2023-03-09,0,2023-03-20,ROLLINS MACHINERY,"21869 56 Ave, Langley, British Columbia","$446,900.00",2023-03-23
Ministry of Post Secondary Education and Future Skills,,Contact Centre for StudentAid BC Program,9734,Request for Proposal,2022-12-14,3,2023-01-19,CBV Collection Services Ltd.,"Suite 1800 - 510 West Georgia Street, Vancouver, British Columbia","$2,000,000.00",2023-03-03
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,Transport Canada certified(TC-125-1B) specimen containers,5092944,Invitation to Quote,2023-02-21,1,2023-03-03,ARVITA TRADE,"464 - 5525 WEST BOULEVARD, VANCOUVER, British Columbia","$18,000.00",2023-03-08
Procurement Services Branch ,Ministry of Public Safety and Solicitor General,Food Services in Provincial Correctional Centres,7213,Request for Proposal,2022-10-31,0,2022-12-09,CLUBPROCURE,"400 - 1 PROLOGIS BOULEVARD, MISSISSAUGA, Ontario","$52,998,821.00",2023-03-27
Ministry of Social Development and Poverty Reduction,,SECURITY SERVICES – AREA A ,9954,Request for Proposal,2022-12-02,0,2023-01-06,Blackbird Security,"502-1001 W Broadway, Vancouver, British Columbia","$108,452.25",2023-02-28
Ministry of Social Development and Poverty Reduction,,SECURITY SERVICES – AREA B ,9960,Request for Proposal,2022-12-02,0,2023-01-06,Blackbird Security,"502-1001 W Broadway, Vancouver, British Columbia","$347,422.35",2023-02-28
Ministry of Social Development and Poverty Reduction,,SECURITY SERVICES – FRASER VALLEY AREA (FVA) ,9964,Request for Proposal,2022-12-02,0,2023-01-06,Armour Security And Protection Services Corp.,"7- 7541 Conway Avenue,, Burnaby, British Columbia","$148,640.38",2023-03-01
