Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Lac le Jeune Tactical Plan,FM21DTR012,ITT,2020-08-24,1,2020-09-03,Forsite Consultants Ltd.,Salmon Arm,British Columbia,Canada,"$13,450.00",2020-10-05
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Lac le Jeune Tactical Plan,FM21DTR012,ITT,2020-08-24,1,2020-09-03,Forsite Consultants Ltd.,Salmon Arm,British Columbia,Canada,"$13,450.00",2020-10-05
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,First Nation Consultation Applications Support,ON-003498,RFP,2020-06-23,0,2020-07-22,VIVID SOLUTIONS INC.,Victoria,British Columbia,Canada,"$2,200,000.00",2020-10-05
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Venables Valley Fuel Management Prescriptions,FM21DTR009,ITT,2020-09-21,0,2020-10-05,Rider Ventures Ltd.,Coldstream,British Columbia,Canada,"$137,895.00",2020-10-06
Procurement Services Branch,Ministry of Citizens' Services,Adobe Experience Manager Forms,ITQ-006326,Itq,2020-09-24,0,2020-10-01,Insight Canada Inc,Montreal,Quebec,Canada,"$50,068.36",2020-10-06
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Intersection Improvements, Salmon Arm",24494MJ0001,MOTITT,2020-09-16,0,2020-09-30,Springline Construction Services Ltd.,Delta,British Columbia,Canada,"$871,402.72",2020-10-07
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Intersection Improvements, Salmon Arm",24494MJ0001,MOTITT,2020-09-16,0,2020-09-30,Springline Construction Services Ltd.,Delta,British Columbia,Canada,"$871,402.72",2020-10-07
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Britannia Mine - General Maintenance Contractor,RFPCCSP2021-02,RFP,2020-08-13,0,2020-09-21,Miller Capilano Maintenance Corporation,Victoria,British Columbia,Canada,"$225,000.00",2020-10-07
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Wildlife Tracking Collars (Kamloops),ITQ-006309,Itq,2020-08-27,0,2020-09-08,VECTRONIC Aerospace GMbH,Berlin,,Germany,"$215,416.53",2020-10-08
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Broadway Subway Project Owner’s Engineering Services,BSP ENG 2021 04,RFP,2020-07-10,5,2020-07-17,Stantec Consulting Ltd.,Vancouver,British Columbia,Canada,"$5,976,000.00",2020-10-08
Procurement Services Branch,Ministry of Citizens' Services,( Quickbooks Desktop Pro 2021 25 X 2 licenses,ITQ-006318,Itq,2020-09-14,0,2020-09-23,Softchoice LP,Vancouver,British Columbia,Canada,"$12,028.25",2020-10-08
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Manning Park Hand-Crew Prepetory Work for Prescribed Fire,GS21PNE207,ITQ,2020-09-23,1,2020-09-28,Arc Ridge LTD,Vernon,British Columbia,Canada,"$50,000.00",2020-10-08
Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply & Delivery of Precast Concrete Box Culvert (Osoyoos),ITQ-006328,Itq,2020-09-29,0,2020-10-07,Langley Concrete & Tile Ltd,Langley,British Columbia,Canada,"$65,646.01",2020-10-09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS21MRB313-A - Powder King/Purden/Murray Ridge WRR Prescriptions,GS21MRB313-A,ITT,2020-09-01,0,2020-09-30,Forteck Enviro Inc.,Manning,British Columbia,Canada,"$32,000.00",2020-10-09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Rehabilitation and Deactivation ,RH21DQU001,ITT,2020-09-24,0,2020-10-08,Interior Silvi-Services Ltd.,Quesnel,British Columbia,Canada,"$53,288.30",2020-10-09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS21MRB307 - Apex Wildfire Risk Reduction Operational Treatments,GS21MRB307,ITT,2020-10-01,2,2020-10-08,Osprey Forest Operations Ltd.,Victoria,British Columbia,Canada,"$109,413.37",2020-10-09
Procurement Services Branch,Ministry of Transportation and Infrastructure,JIRA License Renewals,ITQ-006322,Itq,2020-09-24,1,2020-09-30,Highway Three Solutions (2013) Ltd.,Victoria,British Columbia,Canada,"$61,061.01",2020-10-09
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Red Bluff Water Assessment ,CP21SME021,ITQ,2020-09-29,2,2020-10-01,Waterline Resources Ltd,Nanaimo,British Columbia,Canada,"$27,827.00",2020-10-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Expert Earthquake Engineering Consulting Services,SRFP-EE-200901,SRFP,2020-09-02,3,2020-09-11,Tetra Tech,Vancouver,British Columbia,Canada,"$50,000.00",2020-10-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Expert Earthquake Engineering Consulting Services,SRFP-EE-200901,SRFP,2020-09-02,3,2020-09-11,Associated Engineering,Vancouver,British Columbia,Canada,"$50,000.00",2020-10-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Expert Earthquake Engineering Consulting Services,SRFP-EE-200901,SRFP,2020-09-02,3,2020-09-11,Basis Engineering,Vancouver,British Columbia,Canada,"$50,000.00",2020-10-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Expert Earthquake Engineering Consulting Services,SRFP-EE-200901,SRFP,2020-09-02,3,2020-09-11,Mott Macdonald,Vancouver,British Columbia,Canada,"$50,000.00",2020-10-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Expert Earthquake Engineering Consulting Services,SRFP-EE-200901,SRFP,2020-09-02,3,2020-09-11,Golder,Vancouver,British Columbia,Canada,"$50,000.00",2020-10-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Expert Earthquake Engineering Consulting Services,SRFP-EE-200901,SRFP,2020-09-02,3,2020-09-11,Thurber Engineering,Vancouver,British Columbia,Canada,"$50,000.00",2020-10-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Expert Earthquake Engineering Consulting Services,SRFP-EE-200901,SRFP,2020-09-02,3,2020-09-11,Stantec,Vancouver,British Columbia,Canada,"$50,000.00",2020-10-12
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Expert Earthquake Engineering Consulting Services,SRFP-EE-200901,SRFP,2020-09-02,3,2020-09-11,Huffman Engineering Ltd.,Victoria,British Columbia,Canada,"$50,000.00",2020-10-12
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Body Removal and Transport- Castlegar ,BCCS21NOI711A,NOI,2020-09-09,0,2020-09-23,Kootenay Enterprise Inc.,Castlegar,British Columbia,Canada,"$20,000.00",2020-10-13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Process Management and Facilitation Support - FSJ LRMP Update   ,GS21FSJ0019,RFP,2020-09-03,3,2020-09-07,Two Worlds Consulting Ltd.,Victoria,British Columbia,Canada,"$25,000.00",2020-10-13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS21MRB321- Blackcomb WRR Operational Treatments,GS21MRB321,ITT,2020-09-25,4,2020-10-02,Osprey Forest Operations Ltd.,Victoria,British Columbia,Canada,"$650,900.10",2020-10-13
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Third-Party Administration of Benefits Services in Victoria,TPA2020102VIC,SRFP,2020-08-21,0,2020-09-23,The Elizabeth Fry Society of Greater Vancouver,Victoria,British Columbia,Canada,"$67,750.00",2020-10-13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Wildfire Risk Managemewnt,op21whq0209,RFP,2020-08-18,2,2020-08-21,N/A,,,,$0.00,2020-10-14
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,NOI to Extend Electronic Monitoring Services Contract,11545,NOI,2020-07-14,1,2020-07-16,Buddi Ltd,London,,England,"$450,000.00",2020-10-14
Procurement Services Branch,Ministry of Transportation and Infrastructure,Time Lapse Camera System (Prince George),ITQ-006285,Itq,2020-08-10,0,2020-08-18,Mainroad Transtronic Services LP,Surrey,British Columbia,Canada,"$69,125.28",2020-10-14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Identification, Development & Fibre Removal From Marginal Stands",OP21DQU006A,ITT,2020-10-07,0,2020-10-13,Tsi Del Del Enterprises Ltd.,Williams Lake,British Columbia,Canada,"$335,250.00",2020-10-14
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP Indigenous Relations Advisor,RFP #MP-IRA2020,RFP,2020-07-09,2,2020-07-16,Hemmera Envirochem Inc,Burnaby,British Columbia,Canada,"$500,000.00",2020-10-15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Detailed Aerial Bark Beetle Suveys in the PG Forest District,FH21DPG616,ITT,2020-09-30,1,2020-10-13,SKY Helicopters Inc.,Pitt Meadows,British Columbia,Canada,"$44,100.00",2020-10-15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Logging & Fiber Removal from MPB Impacted Stands ,SP21DPG607,ITT,2020-07-15,0,2020-08-18,575012 B.C. Ltd.,Prince George,British Columbia,Canada,"$140,824.00",2020-10-15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Haida Gwaii - QC Main Roadside Brushing,EN21NAN804,ITT,2020-09-23,0,2020-10-05,O'Brien & Fuerst Logging Ltd.,Queen Charlotte,British Columbia,Canada,"$18,000.00",2020-10-15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",FH21DND012 Search and Destroy MPB Nadina Forest District,FH21DND012,ITT,2020-11-18,0,2020-12-03,Finlay Lake Forestry Ltd.,Smithers,British Columbia,Canada,"$69,500.00",2020-10-15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Overstory Removal of MPB Damaged Stands and Mounding/Screefing ,SP21DPG604,ITT,2020-09-03,0,2020-09-30,Doug Brophy Contracting Ltd.,Vanderhoof,British Columbia,Canada,"$56,720.00",2020-10-15
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP Indigenous Relations Advisor,RFP #MP-IRA2020,RFP,2020-07-09,2,2020-07-16,Cornerstone Planning Group Partnership,Victoria,British Columbia,Canada,"$500,000.00",2020-10-15
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP Indigenous Relations Advisor,RFP #MP-IRA2020,RFP,2020-07-09,2,2020-07-16,Mike Furey,Whistler,British Columbia,Canada,"$500,000.00",2020-10-15
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,12 Foot Trailer Purchase ,ITQ-006330,Itq,2020-09-30,1,2020-10-14,Russel Tait,Whitehorse,Yukon Territories,Canada,"$5,768.00",2020-10-15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Caribou Surveys-Helicopter,11753,ITQ,2020-09-23,0,2020-10-07,Bailey Helicopters,Fort St John,British Columbia,Canada,"$143,000.00",2020-10-16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Removal of Fill, N3-021 Culvert, 7.5km Bush River – Forest Servi",EN21474-038,ITT,2020-09-30,0,2020-10-15,CHATTER CREEK HOLDINGS LTD.,Golden,British Columbia,Canada,"$95,000.00",2020-10-16
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Removal of McMillan dock and restoring Site to natural condition,12876MJ0001,MOTITT,2020-10-08,4,2020-10-15,JJM Construction Ltd.,Delta,British Columbia,Canada,"$2,339,000.00",2020-10-19
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Douglas-Fir & Spruce Bark Beetle Reconnaisance & Appl. Layout,FH21DQU001,ITT,2020-09-22,1,2020-10-14,Civil North Consulting Ltd.,Prince George,British Columbia,Canada,"$28,900.00",2020-10-19
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",FRANCOIS LAKE FUELS MANAGEMENT PRESCRIPTION DEVELOPMENT,GS21DND008,ITT,2020-09-22,0,2020-10-13,Silvicon Services Inc.,Smithers,British Columbia,Canada,"$81,810.00",2020-10-19
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Certified Change Management Consultant(s),RFPEMBC37,RFP,2020-08-25,3,2020-09-04,Sierra Systems Group Inc.,Victoria,British Columbia,Canada,"$120,000.00",2020-10-19
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Supply & Delivery of EOTECH Patrol Rifle Scope (Victoria),ITQ-006329,Itq,2020-09-29,1,2020-10-09,Wolverine Supplies Ltd.,Virden,Manitoba,Canada,"$42,786.45",2020-10-19
Procurement Services Branch,Ministry of Transportation and Infrastructure,Request for Standing Offer for Highway Signs,ITQ-006327,Itq,2020-09-29,0,2020-10-08,Valley Traffic Systems Inc,Langley,British Columbia,Canada,$0.00,2020-10-20
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",IBM GROUND SURVEYS/ FALL & BURN – YAHK AREA,FH21DSE004,ITT,2020-09-28,0,2020-10-20,Nazca Consulting Ltd,Nelson,British Columbia,Canada,"$109,050.00",2020-10-20
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",IBM GROUND SURVEYS/ FALL & BURN – YAHK AREA,FH21DSE004,ITT,2020-09-28,0,2020-10-20,Nazca Consulting Ltd,Nelson,British Columbia,Canada,"$109,050.00",2020-10-20
Procurement Services Branch,Ministry of Transportation and Infrastructure,Request for Standing Offer for Highway Signs,ITQ-006327,Itq,2020-09-29,0,2020-10-08,Sherine Industries Ltd,Surrey,British Columbia,Canada,$0.00,2020-10-20
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Independent Engineer, Pattullo Bridge Replacement Project",PBR ENG 2020 11,RFP,2020-03-19,5,2020-03-31,T.Y. Lin International Canada Inc.,Vancouver,British Columbia,Canada,"$525,000.00",2020-10-20
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Placement of Riprap Underwater at Pier 7,12595MJ2020,MOTITT,2020-10-06,4,2020-10-14,Jakes Construction Ltd.,Chilliwack,British Columbia,Canada,"$1,527,500.00",2020-10-21
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Rabbit and Frog-Gataga Caribou Surveys 2020-21,11750,ITQ,2020-09-23,0,2020-10-14,NORTHERN FIRE WORX CORP,Fort Nelson,British Columbia,Canada,"$64,000.00",2020-10-21
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Boreal Caribou Monitoring 2020-2021,11676,RFP,2020-09-22,2,2020-09-30,Bailey Helicopters,Fort St John,British Columbia,Canada,"$224,890.00",2020-10-21
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Indigenous Forest Bioeconomy Project Delivery List of Suppliers,FN21NRH0003MY,RQU,2020-08-25,1,2020-09-03,Leo Consulting Inc.,Lantzville,British Columbia,Canada,$0.00,2020-10-21
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Supply & Delivery of Self Dumping Hoppers,ITQ-006332,Itq,2020-10-02,0,2020-10-09,Universal Handling Eqipment Company (Red Deer) Limited,Red Deer,Alberta,Canada,"$4,704.00",2020-10-21
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Indigenous Forest Bioeconomy Project Delivery List of Suppliers,FN21NRH0003MY,RQU,2020-08-25,1,2020-09-03,Forsite Consultants Ltd.,Salmon Arm,British Columbia,Canada,$0.00,2020-10-21
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mine Manager Services - Britannia Mine Remediation Project,RFPCCSP2021-03,RFP,2020-08-19,0,2020-10-02,Harry Carruthers,Victoria,British Columbia,Canada,"$150,000.00",2020-10-21
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Supply and Delivery of Type II Picnic Table Legs (Black Creek),ITQ-006340,Itq,2020-10-09,0,2020-10-20,TXN Installations Ltd.,Invermere,British Columbia,Canada,"$33,799.93",2020-10-22
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Supply & Delivery of Picnic Table Boards (Black Creek),ITQ-006341,Itq,2020-10-09,0,2020-10-20,Prime Length Timber Ltd,Powell River,British Columbia,Canada,"$8,091.60",2020-10-22
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Kokanee Creek PP Building Removals,11693,SRFP,2020-09-28,3,2020-09-29,Coates Custom Carpentry Ltd,Victoria,British Columbia,Canada,"$16,000.00",2020-10-22
Ministry of Agriculture,Ministry of Agriculture,Notice of Intent to direct award SCA21AG012,SCA21AG012,NOI,2020-10-16,0,2020-10-23,Small Scale Food Processor Association,Nanaimo,British Columbia,Canada,"$550,000.00",2020-10-23
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Manning Park Fuel Management and Firesmart Treatment,GS21PNE209,RFP,2020-09-18,0,2020-10-16,Klo-Well Ltd.,Penticton,British Columbia,Canada,"$75,920.00",2020-10-23
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,SRFP - Mary Lake Property Baseline Inventory,RFPGS21JHQ-070,SRFP,2020-10-02,5,2020-10-06,Keefer Ecological Services Ltd.,Cranbrook,British Columbia,Canada,"$10,000.00",2020-10-27
Procurement Services Branch,Ministry of Transportation and Infrastructure,Email Marketing Tool (Victoria),ITQ-006028,Itq,2019-11-14,1,2019-11-18,Simplycast Interactive Marketing Ltd.,Dartmouth,Nova Scotia,Canada,"$25,000.00",2020-10-27
Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply and Delivery of Rip Rap (Zickmantle Pit),ITQ-006337,Itq,2020-10-16,2,2020-10-20,Baird Bros. Ltd.,Enderby,British Columbia,Canada,"$66,787.01",2020-10-27
Procurement Services Branch,Ministry of Transportation and Infrastructure,Kepware Support & Maintenance,ITQ-006325,Itq,2020-10-02,1,2020-10-06,PTC (Canada) Inc.,St Laurent,Quebec,Canada,"$14,800.00",2020-10-27
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Property Assessed Clean Energy (PACE) Roadmap,GS21JHQ122,RFP,2020-11-12,1,2020-11-12,Dunsky Energy Consulting,Victoria,British Columbia,Canada,"$139,879.00",2020-10-27
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS21MRB319 - Wapiti WRR Operational Treatments,GS21MRB319,ITT,2020-10-19,1,2020-10-23,Osprey Forest Operations Ltd.,Victoria,British Columbia,Canada,"$288,919.63",2020-10-27
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Wild Goose East Road Rehabilitation, 100 Mile House",RH21DMH074,ITT,2020-10-20,2,2020-10-27,N/A,,,,$0.00,2020-10-28
Ministry of Attorney General,Ministry of Attorney General,Notice of Intent to award a contract-database services,20200910,NOI,2020-09-10,0,2020-09-18,Standardbred Canada,Mississauga,Ontario,Canada,"$15,000.00",2020-10-28
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As & When Required Traffic Control Services - South Peace,331LM4530-TC,ITB,2020-10-22,0,2020-10-29,Energetic Traffic Control Ltd.,Fort St John,British Columbia,Canada,"$50,000.00",2020-10-29
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As & When Required Traffic Control Services - North Peace ,331LM6620-TC,ITB,2020-10-22,0,2020-10-29,Energetic Traffic Control Ltd.,Fort St John,British Columbia,Canada,"$50,000.00",2020-10-29
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Real Estate Appraiser,REA-082720,SRFP,2020-08-27,0,2020-09-24,Frilan Appraisals LLP,Kamloops,British Columbia,Canada,$0.00,2020-10-29
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Real Estate Appraiser,REA-082720,SRFP,2020-08-27,0,2020-09-24,Equity Valuation and Consulting Services Ltd.,Maple Ridge,British Columbia,Canada,$0.00,2020-10-29
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,NOI to Direct Award Case Management & Community Reintegration,NOIKRCC11789,NOI,2020-10-23,2,2020-10-26,Asini'atik Cultural Services,Pinatan Lake,British Columbia,Canada,"$25,000.00",2020-10-29
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer for Forest Fire Hose (Chilliwack),ITQ-006338,Itq,2020-10-09,0,2020-10-20,National Fire Equipment Ltd,Burnaby,British Columbia,Canada,$0.00,2020-10-30
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Installation of CMB and median flashers on Highway 97A,25193MJ0002,MOTITT,2020-10-15,0,2020-10-29,Tri-Kon Precast Products Ltd.,Cranbrook,British Columbia,Canada,"$1,104,409.29",2020-10-30
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Installation of CMB and median flashers on Highway 97A,25193MJ0002,MOTITT,2020-10-15,0,2020-10-29,Tri-Kon Precast Products Ltd.,Cranbrook,British Columbia,Canada,"$1,104,409.29",2020-10-30
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","TREE PLANTING – MT 7 GOLDEN, BC",PL22DSE001,ITT,2020-10-15,0,2020-11-02,Zanzibar Holdings Ltd,North Vancouver,British Columbia,Canada,"$8,534.00",2020-11-02
