Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Procurement Services Branch,Ministry of Transportation and Infrastructure,Radio Repeater Backplanes,ITQ-006721,Itq,2021/06/22,0,2021/07/05,SURTEK INDUSTRIES INC,Surrey,British Columbia,Canada,"$17,376.05",2021/07/07
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Alex Fraser Bridge Pier S15 and N15 Modular Joint Replacements,12871MJ0002,MOTITT,2021/06/16,4,2021/06/24,Graham Infrastructure LP,Delta,British Columbia,Canada,"$2,895,470.00",2021/07/08
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As & When Required Traffic Control Services - North Peace,331LM164741-TC,ITQ,2021/07/02,1,2021/07/08,Energetic Traffic Control Ltd.,Fort St John,British Columbia,Canada,"$500,000.00",2021/07/08
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As & When Required Traffic Control Services - South Peace,331LM345067-TC,ITQ,2021/07/02,0,2021/07/08,Energetic Traffic Control Ltd.,Fort St John,British Columbia,Canada,"$50,000.00",2021/07/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Survey and Design Services,EN22DSE004,ITT,2021/05/28,1,2021/06/15,N/A,N/A,N/A,N/A,$0.00,2021/07/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Survey and Design Services,EN22DSE004,ITT,2021/05/28,1,2021/06/15,N/A,N/A,N/A,N/A,$0.00,2021/07/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Survey and Design Services,EN22DSE004,ITT,2021/05/28,1,2021/06/15,N/A,N/A,N/A,N/A,$0.00,2021/07/08
Procurement Services Branch,Ministry of Citizens' Services,Articulate 360 Teams Renewal (Victoria BC),ITQ-006716,Itq,2021/06/21,1,2021/06/25,Articulate Global LLC,New York,New York,United States,"$3,897.00",2021/07/09
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Rock Slope Stabilization,86002MJ4559,MOTITT,2021/06/01,0,2021/06/30,Mountain Rock Stabilization Services Inc.,Kamloops,British Columbia,Canada,"$319,800.00",2021/07/09
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Rock Slope Stabilization,86002MJ4559,MOTITT,2021/06/01,0,2021/06/30,Mountain Rock Stabilization Services Inc.,Kamloops,British Columbia,Canada,"$319,800.00",2021/07/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Road/Bridge Maintenance, Deactivation & Wildfire Rehabilitation",EN22NAN505,ITT,2021/06/08,1,2021/06/15,A. Wood Bulldozing Ltd,Victoria,British Columbia,Canada,"$130,294.00",2021/07/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Identification, Development, and Fibre Removal From Marginal Sta",OP22DQU006,ITT,2021/06/09,1,2021/07/09,Tsi Del Del Enterprises Ltd.,Williams Lake,British Columbia,Canada,"$372,800.00",2021/07/09
