Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Consulting Engineering Srv for Causeway Improvements at IIWWTP,22-042,RQU,2022/04/13,1,2022/04/29,see https://metrovancouver.bidsandtenders.ca,Burnaby,,,$0.00,2022/06/09
City of Richmond,City of Richmond,S & D of One Fully Electric High Roof Van with Rear Cargo Doors,8085Q,RFQ,2022/03/31,0,2022/04/28,Metro Motors Ltd,Port Coquitlam,,,"$81,625.00",2022/06/09
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Babine Mountains Trails Construction Phase I ,CP23SME008,ITT,2022/05/12,0,2022/06/07,Specialized Earthworks Ltd.,Smithers,British Columbia,Canada,"$122,225.00",2022/06/09
Ministry of Forests,Ministry of Forests,Geotechnical Engineering Services Thompson/Okanagan & Cariboo,EN23474003 & 004,RFP,2022/04/19,0,2022/05/19,003 Onsite Engineering 004 Westrek Engineering,Kamloops,British Columbia,Canada,"$90,000.00",2022/06/09
Ministry of Forests,Ministry of Forests,Routine Bridge & Major Culvert Inspections - DSN,EN23PGN304,ITT,2022/05/19,0,2022/06/09,Caliber Bridge & Design Ltd.,Campbell River,British Columbia,Canada,"$53,300.00",2022/06/09
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Project Supervision - Various Locations - Williams Lake TSA,EN23TLE006,ITT,2022/05/19,0,2022/06/09,N/A,,,,$0.00,2022/06/09
BC Timber Sales - Contracts,BC Timber Sales - Contracts,"Maintenance and Enhancement Support CSS, ONS, BCTS Admin, & CRS",IS2383G004,ITT,2022/05/16,0,2022/06/02,Lynnette Arlene Stork,Peace River Regional District,British Columbia,Canada,"$8,000.00",2022/06/09
Procurement Services Branch,Ministry of Public Safety & Solicitor General & Emergency B.C.,Monthly standing order - Red and Grey topped test tubes,ITQ-007065,Itq,2022/05/18,0,2022/05/26,VWR International Co.,Mississauga,Ontario,Canada,"$11,565.91",2022/06/09
Ministry of Citizens' Services,"Ministry of Land, Water and Resource Stewardship",Caribou Recovery Program Communication Services,13326,RFP,2022/05/03,3,2022/05/11,N/A,,,,$0.00,2022/06/08
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Engagement and Community Liaison Services,22-068,RSO,2022/02/18,1,2022/03/11,see https://metrovancouver.bidsandtenders.ca,Burnaby,,,$0.00,2022/06/08
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Douglas Road Main No.2-Still Creek-Microtunnel Project Visual,22-109,ITB,2022/03/09,0,2022/04/01,Stasuk Testing & Inspections Ltd.,Burnaby,,,$0.00,2022/06/08
Ministry of Attorney General,Ministry of Attorney General,Project Coordinator – Canadian Family Justice Fund,AGJSBFJSD-CFJF23-01,RFP,2022/04/08,0,2022/05/09,"Tait, Catherine D.dba Catherine Tait Consulting",Victoria,British Columbia,Canada,"$400,000.00",2022/06/08
