Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Southern Interior Region Rumble Strip Program 2019,22376MJ2019,MOTITT,2019/08/15,0,2019/08/29,Dunwell Innovations Inc.,Kelowna,"$146,479.50",2019/08/30,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Adobe DOC Services AEM 11 to Adobe Experince Manager Migration,ITQ-005959,Itq,2019/08/15,0,2019/08/23,iFathom Corp,Ottawa,"$9,992.93",2019/08/30,Ontario,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway 97 Prince George - Asphalt Paving,37642MN0001,MOTITT,2019/08/15,0,2019/08/28,Lafarge Canada Inc.,Prince George,"$183,325.00",2019/09/17,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway 97 Prince George - Asphalt Paving,37642MN0001,MOTITT,2019/08/15,0,2019/08/28,Lafarge Canada Inc.,Prince George,"$183,325.00",2019/09/17,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",SU20DFN001 - AERIAL/GROUND SILVICULTURE SURVEY-FORT NELSON,SU20DFN001,ITT,2019/08/16,1,2019/09/09,Geoterra Integrated Resources Systems Ltd.,Vancouver,"$16,881.07",2019/09/23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Installation of Multiplate Arch Culvert on Malaspina FSR 6106,EN20LMN108,ITT,2019/08/19,3,2019/08/23,Night Train Cintracting Inc.,Campbell River,"$49,500.00",2019/08/23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Construction of Pre-Engineered Steel Building in Lytton BC,ITT20WHQCP001,ITT,2019/08/19,2,2019/08/30,MBG Buildings Inc,Surrey,"$442,895.00",2019/09/18,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Adobe Experience Manager Forms Support (Victoria),ITQ-005962,Itq,2019/08/20,0,2019/08/28,Acrodex Inc.,Edmonton,"$87,281.38",2019/08/30,Alberta,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Well Identification Plates (Victoria),ITQ-005961,Itq,2019/08/20,0,2019/08/28,Elite Textile Trading LLC,Irvine,"$14,998.28",2019/09/17,California,United States
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Duffy Lake Dam Rebuild,10762,ITT,2019/08/20,1,2019/09/18,WMI water Management International Inc.,Kamloops,"$169,000.00",2019/10/07,British Columbia,Canada
Ministry of Children and Family Development,Ministry of Children and Family Development,"FASD Key Worker Program - Port Alberni, Vancouver Island, BC",XCN2019-070RFP,RFP,2019/08/20,4,2019/08/23,Port Alberni Association for Community Living,Port Alberni,"$223,229.52",2019/10/01,British Columbia,Canada
Ministry of Children and Family Development,Ministry of Children and Family Development,"Sexual Abuse Intervention Program (SAIP) - Port Alberni, BC",XCN2019-071,RFP,2019/08/20,3,2019/08/23,Alberni Valley Drug & Alcohol Prevention Service,Port Alberni,"$344,373.84",2019/10/01,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Lead/Zinc mining sector Benchmark study,RFPGS20JHQ105,SRFP,2019/08/21,2,2019/09/03,N/A,,$0.00,2019/09/25,,
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,HIGH RESOLUTION SATELLITE IMAGES (Abbotsford),ITQ-005960,Itq,2019/08/21,0,2019/08/29,PLANET LABS GEOMATICS Corp,Lethbridge,"$30,095.79",2019/08/30,Alberta,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Road Surfacing Inland Lake FSR 8138, Br 01",EN20LMN104,ITT,2019/08/21,1,2019/08/23,T&R Contracting Ltd.,Powell River,"$59,947.00",2019/08/23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Road Surfacing Inland Lake FSR 8138, Br 01",EN20LMN104,ITT,2019/08/21,1,2019/08/23,T & R Contracting Ltd.,Powell River,"$59,947.00",2019/08/23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Manual Brushing,BR20DSN037,ITT,2019/08/22,1,2019/09/09,Dewan Enterprises Ltd,Quesnel,"$24,774.10",2019/09/09,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Construction of New Dam Located at Minton Lake, Williams Lake  ",ITT20JHQ011,ITT,2019/08/22,5,2019/08/26,Lake Excaving Ltd.,Vancouver,"$1,196,369.00",2019/08/29,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Plastic Wood Accessible Toilet Building (Victoria),ITQ-005965,Itq,2019/08/23,0,2019/09/03,Wishbone Industries Ltd,Langley,"$8,187.20",2019/09/05,British Columbia,Canada
Ministry of Health,Ministry of Health,Security Services,ON-0010708,RFP,2019/08/23,2,2019/08/28,"Commissionaires Victoria, the Island and Yukon",Victoria,"$1,042,302.78",2019/09/13,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Champion Lakes Provincial Park Road Repair,ENV20-BCP-012,ITT,2019/08/25,1,2019/08/29,MarWest Industries Ltd.,Castlegar,"$140,839.00",2019/09/12,British Columbia,Canada
"Ministry of Energy, Mines, and Petroleum Resources","Ministry of Energy, Mines, and Petroleum Resources",Infrastructure Royalty Credit Program Audit,AU20MAN0062,RFP,2019/08/26,0,2019/09/27,N/A,,$0.00,2019/11/19,,
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Components for Existing (reused/recycled) Bridge (Wycliffe),ITQ-005966,Itq,2019/08/26,0,2019/09/13,Pioneer Precast Products,Chilliwack,"$75,509.28",2019/09/18,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Storm Damage Repairs at Little Qualicum Falls Provincial Park,ITT CP20NAN022,ITT,2019/08/26,4,2019/09/04,Western Watershed Designs Inc.,Delta,"$162,650.00",2019/09/12,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS20DND124 - Equipment Supervisor,GS20DND124,ITQ,2019/08/27,3,2019/09/03,1197157 BC Ltd,Campbell River,"$85,000.00",2019/09/13,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,"SNOWMOBILES, HEAVY HAULER & ACCESSORIES (Prince George)",ITQ-005963,Itq,2019/08/27,2,2019/09/04,MMD Sales Ltd.,Edmonton,"$177,974.50",2019/09/10,Alberta,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,"Micromate, Sensors and Accessories (Prince George)",ITQ-005968,Itq,2019/08/27,0,2019/09/05,RST Instruments Ltd.,Maple Ridge,"$9,516.00",2019/09/11,British Columbia,Canada
"Ministry of Advanced Education, Skills, and Training","Ministry of Advanced Education, Skills, and Training",WorkBC and Career Trek Videos Project,10728,RFP,2019/08/27,2,2019/09/03,Sandbox - La boite a films,Toronto,"$850,000.00",2019/09/25,Ontario,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway 1 - Balmoral Intersection Safety Improvements,25049MJ0001,MOTITT,2019/08/28,0,2019/09/12,Eagle Rock Construction Ltd.,Kamloops,"$2,386,939.25",2019/09/16,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway 1 - Balmoral Intersection Safety Improvements,25049MJ0001,MOTITT,2019/08/28,0,2019/09/12,Eagle Rock Construction Ltd.,Kamloops,"$2,386,939.25",2019/09/16,British Columbia,Canada
