Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Ministry of Citizens' Services,Ministry of Citizens' Services,HDPE Pipe and Fittings,ON-003309,MSO,2019/03/05,1,2019/04/11,Armtec Inc,Langley,$0.00,2019/05/01,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Galvanized Steel Pipe and Pipe Arches,on-003311,MSO,2019/03/05,1,2019/04/04,Armtec Inc,Langley,$0.00,2019/05/01,British Columbia,Canada
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,Report2Web License Renewal (Victoria),ITQ-005823,Itq,2019/03/05,0,2019/03/12,Redwood Software Inc,Morrisville,"$24,570.00",2019/03/14,North Carolina,United States
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Security Vancouver Island 2019,SEC2019VANCISLAND,RFP,2019/03/05,0,2019/03/25,Footprints Security Patrol Inc.,Nanaimo,"$212,594.00",2019/04/04,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Juniper Systems Tablets (Victoria),ITQ-005824,Itq,2019/03/05,0,2019/03/13,Universal Field Supplies Inc.,Port Coquitlam,"$15,554.61",2019/03/18,British Columbia,Canada
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,Informatica License Renewal (Victoria),ITQ-005825,Itq,2019/03/05,0,2019/03/13,Informatica LLC,Redwood,"$88,579.64",2019/03/19,California,United States
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,SIR Inlaid Durable Pavement Markings,23952MJ2019,MOTITT,2019/03/05,0,2019/03/27,Sutton Road Marking Ltd.,Surrey,"$464,868.10",2019/04/04,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,SIR Inlaid Durable Pavement Markings,23952MJ2019,MOTITT,2019/03/05,0,2019/03/27,Sutton Road Marking Ltd.,Surrey,"$464,868.10",2019/04/04,British Columbia,Canada
"Ministry of Advanced Education, Skills, and Training","Ministry of Advanced Education, Skills, and Training",BladeRunners Evaluation,19-AEST-BR,SRFP,2019/03/05,2,2019/03/14,Two Worlds Consulting,Victoria,"$249,943.00",2019/05/08,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,"Cisco Security, Request for Standing Offer (Victoria)",ITQ-005804,Itq,2019/03/05,2,2019/03/07,Charter Telecom Inc.,Victoria,"$982,063.07",2019/03/12,British Columbia,Canada
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,Rocket License Maintenance Renewal (Victoria),ITQ-005822,Itq,2019/03/05,0,2019/03/12,Rocket Software Inc.,Waltham,"$95,439.11",2019/03/14,Massachusetts,United States
Ministry of Attorney General,Ministry of Attorney General,Learning Management System for Liquor Cannabis Regulation Branch,LCRBLMSRFP002,RFP,2019/03/06,0,2019/03/22,Yardstick Software Inc,Edmonton,"$834,720.00",2019/07/26,Alberta,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hot-In-Place Recycling 2019/20 North Peace Roads (127.5 Lane Km),37636MJ0000,MOTITT,2019/03/06,1,2019/03/14,Green Roads Recycling Ltd.,Fernie,"$7,045,985.00",2019/03/19,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Installation of Rumble Strips,37639MJ0000,MOTITT,2019/03/06,3,2019/03/19,Dunwell Innovations Inc.,Kelowna,"$157,400.00",2019/03/26,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply and Haul: 75mm SGSB Raod Gravel (Surrey),ITQ-005826,Itq,2019/03/06,0,2019/03/13,H.K.S. Management Inc.,Langley,"$143,181.00",2019/03/18,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Resurfacing Fort St. John Area Paving (44.8 Lane Km),37629MJ0000,MOTITT,2019/03/06,0,2019/03/27,Peter's Bros. Construction Ltd.,Penticton,"$5,876,211.00",2019/04/03,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Resurfacing Fort St. John Area Paving (44.8 Lane Km),37629MJ0000,MOTITT,2019/03/06,0,2019/03/27,Peter's Bros. Construction Ltd.,Penticton,"$5,876,211.00",2019/04/03,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Resurfacing Hwy 16 and Hwy 97 in the Prince George Area.,37622MJ0000,MOTITT,2019/03/06,2,2019/03/20,Lafarge Canada Inc.,Prince George,"$5,981,198.59",2019/03/26,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Light Duty ATV (Dawson Creek),ITQ-005827,Itq,2019/03/06,0,2019/03/14,Cycle North Enterprises Ltd,Prince George,"$8,300.32",2019/03/25,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Replacement of the La Guarde Creek Culvert with a Bridge,37205MJ0000,MOTITT,2019/03/06,1,2019/03/13,Formula Contractors Ltd.,Prince George,"$2,226,457.85",2019/03/20,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP - Analytical Laboratory Services for Environmental Media,RFP55860ARD2,RFP,2019/03/06,0,2019/04/03,CARO Analytical Services Ltd.,Richmond,"$500,000.00",2019/05/15,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Recreation Site Maintenance Operations Clearwater Area,RC202670002MY,ITT,2019/03/07,0,2019/04/05,Thompson Resource Management Ltd.,Clearwater,"$5,160.00",2019/04/11,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Five(5) Snowmobiles (Various locations, BC)",ITQ-005821,Itq,2019/03/07,3,2019/03/11,Cycle North Enterprises Ltd,Prince George,"$61,891.20",2019/03/13,British Columbia,Canada
Ministry of Attorney General,Ministry of Attorney General,Official Veterinarian at Fraser Downs Racetrack,10275,ITQ,2019/03/07,0,2019/03/13,Dr. Sheryl Bourque,Surrey,"$50,000.00",2019/04/01,British Columbia,Canada
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Security North 2019,SEC2019NORTH,RFP,2019/03/07,1,2019/03/25,Securiguard Services Ltd,Vancouver,"$102,866.00",2019/04/04,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Replace Existing Bridge with a New One,24062MJ0001,MOTITT,2019/03/08,2,2019/03/14,Projex Infrastructure Ltd.,Aldergrove,"$4,535,822.00",2019/03/20,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hot-In-Place Recycling - Hwy 3 Christina Lake Area and Hwy 395,24974MJ0000,MOTITT,2019/03/08,0,2019/04/02,ARC Asphalt Recycling Inc.,Kamloops,"$2,948,856.00",2019/04/08,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hot-In-Place Recycling - Hwy 3 Christina Lake Area and Hwy 395,24974MJ0000,MOTITT,2019/03/08,0,2019/04/02,ARC Asphalt Recycling Inc.,Kamloops,"$2,948,856.00",2019/04/08,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Kleanza Creek Park Picnic Area Upgrades ,ITT CP20SME002,ITT,2019/03/08,0,2019/04/04,Northwest Escapes Ltd.,Terrace,"$68,344.40",2019/04/18,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Recreation Site Maintenance Chilcotin East,RC202770001MY,ITT,2019/03/11,1,2019/03/18,Doug Kirkby dba Nehalliston Landscaping,100 Mile House,"$10,379.00",2019/03/18,British Columbia,Canada
Procurement Services Branch,"Ministry of Energy, Mines, and Petroleum Resources",4 Tents (Victoria),ITQ-005830,Itq,2019/03/11,0,2019/03/18,Valhalla Pure Outfitters,Victoria,"$20,384.00",2019/03/20,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Freedom R8100 Communications System Analyzer (Victoria),ITQ-005831,Itq,2019/03/12,0,2019/03/18,"Navair Technologies, Inc",Mississauga,"$72,318.40",2019/03/19,Ontario,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Supply & Install 250hp Outboard Motor (Powell River),ITQ-005835,Itq,2019/03/12,0,2019/03/19,0715093 B.C. LTD.,Powell River,"$30,323.85",2019/03/20,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Precast Concrete Pads and Table Leg Sets (4 locations),ITQ-005833,Itq,2019/03/12,0,2019/03/20,Leko Pre-cast Ltd,Vernon,"$516,994.24",2019/03/26,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fencing Supplies (Williams Lake),ITQ-005832,Itq,2019/03/12,0,2019/03/19,Beaver Valley Feeds (1990) Ltd,Williams Lake,"$28,558.38",2019/03/19,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Fire Rings (4 locations),ITQ-005834,Itq,2019/03/13,1,2019/03/20,Castlegar Machine & Chrome (2013) Ltd.,Castlegar,"$44,487.30",2019/03/21,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Kenwood Mobile Radios (Victoria),ITQ-005828,Itq,2019/03/13,1,2019/03/15,JVCKenwood Canada Inc.,Mississauga,"$31,927.17",2019/03/19,Ontario,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Harvest Residue and Regeneration Assessment,1070-30/SX20FHQ012,ITQ,2019/03/13,0,2019/04/05,Strategic Natural Resource Consultants,Port McNeill,"$25,000.00",2019/04/24,British Columbia,Canada
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Appendix A,PGRCC19_001,RFP,2019/03/13,0,2019/04/11,Dale Macfarlane,Prince George,"$75,000.00",2019/04/16,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,E & N Railway Corridor - Condition Assessment,10212,RFP,2019/03/13,2,2019/03/20,WSP Canada Group Limited,Vancouver,$0.00,2019/05/06,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,IS19IIT085SRFP FULL STACK DEVELOPER,IS19IIT085SRFP,RFP,2019/03/13,2,2019/03/25,Two Story Robots Labs Inc.,Victoria,"$240,000.00",2019/05/06,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,SHAREPLEX STANDARD EDITION (Victoria),ITQ-005837,Itq,2019/03/14,0,2019/03/21,Quest Software Inc.,Aliso Viejo,"$38,907.00",2019/03/25,California,United States
Ministry of Environment and Climate Change Strategy,Ministry of Indigenous Relations and Reconciliation,IS19IIT103NOI FNLG AND PHAD,IS19IIT103NOI,NOI,2019/03/14,0,2019/03/28,QED Systems Inc.,Bowen Island,"$35,000.00",2019/04/01,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge Inspections - Cariboo - Chilcotin Resource Distri,EN20474-004,ITT,2019/03/14,0,2019/05/08,Onsite Engineering Ltd.,Campbell River,"$13,906.00",2019/05/08,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Agriculture,IS19IIT108NOI Vetstar Animal Diagnostic Database System,IS19IIT108NOI,NOI,2019/03/14,0,2019/03/28,Advanced Technology Corporation,Ramsey,"$20,000.00",2019/04/01,New Jersey,United States
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Nusatsum River Bridge No. 1346: Timber Pier Cap Replacement,24805MN0000,MOTITT,2019/03/14,0,2019/03/28,Golder Associates Ltd.,Vancouver,"$275,400.00",2019/04/08,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Nusatsum River Bridge No. 1346: Timber Pier Cap Replacement,24805MN0000,MOTITT,2019/03/14,0,2019/03/28,Golder Associates Ltd.,Vancouver,"$275,400.00",2019/04/08,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",IS19IIT101NOI Resource Roads Project,IS19IIT101NOI,NOI,2019/03/14,0,2019/03/28,CGI Information Systems and Management Consultants,Victoria,"$500,000.00",2019/03/28,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",IS19IIT102NOI Inventory Sample Mgmt Consolidation,IS19IIT102NOI,NOI,2019/03/14,0,2019/03/28,Vivid Solutions Inc.,Victoria,"$105,000.00",2019/03/28,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Installation of weather activated signs along Highway 97C.,24170MJ0000,MOTITT,2019/03/14,1,2019/03/21,Bluepoint Construction Limited,West Kelowna,"$1,719,877.00",2019/04/01,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Omtool AccuRoute Support (Victoria),ITQ-005840,Itq,2019/03/15,0,2019/03/22,"Upland Software, Inc.",Austin,"$12,734.00",2019/03/25,Texas,United States
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Security Kootenay 2019,SEC2019KOOTENAY,RFP,2019/03/15,1,2019/03/25,Mountian Eagle Security (2005) Ltd,Cranbrook,"$21,770.00",2019/04/12,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Danger Tree Contract,233LM006543,ITQ,2019/03/15,0,2019/03/29,Action Tree Service,Kelowna,"$50,000.00",2019/04/01,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,As and When Danger Tree Contract,233LM361447,ITQ,2019/03/15,0,2019/03/29,Action Tree Services,Kelowna,"$50,000.00",2019/04/01,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Micromate ISEE Base Unit and accessories (Prince George),ITQ-005839,Itq,2019/03/15,0,2019/03/22,R.S.T. Instruments Ltd.,Maple Ridge,"$10,697.12",2019/03/25,British Columbia,Canada
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Third Party Administration of Benefits - Vancouver,TPA2019 VANCOUVER,RFP,2019/03/15,3,2019/03/25,The Elizabeth Fry Society of Greater Vancouver,New Westminster,$0.00,2019/03/26,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hot-In-Place Recycling Resurfacing 105.6 Lane Km of Highway 97,37638MJ0000,MOTITT,2019/03/15,1,2019/04/04,Peter’s Bros. Construction Ltd.,Penticton,"$6,091,211.00",2019/04/09,British Columbia,Canada
"Ministry of Energy, Mines, and Petroleum Resources","Ministry of Energy, Mines, and Petroleum Resources",Better Buildings - Low-Interest Financing RFI,10316,RFI,2019/03/18,0,2019/04/16,N/A,,$0.00,2019/05/10,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Aerial Overview Survey Mapping,FH20944-001,ITT,2019/03/18,0,2019/04/16,0988936 B.C. Ltd. dba JCH Forest Pest Management,Coldstream,"$27,900.00",2019/04/16,British Columbia,Canada
Procurement Services Branch,Ministry of Attorney General,25 Fujitsu Scanners (Victoria),ITQ-005844,Itq,2019/03/18,0,2019/03/22,PrintersPlus Ltd.,Ottawa,"$24,640.00",2019/03/25,Ontario,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Omineca River Bridge Debris Removal in Mackenzie Forest District,10005-40/EN20DMK005,ITT,2019/03/19,0,2019/04/08,Lepka Holdings Ltd.,Fort St James,"$16,500.00",2019/04/18,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Ingenika River Bridge Debris Removal in the Mackenzie FD,10005-40/EN20DMK006,ITT,2019/03/19,0,2019/04/08,Lepka Holdings Ltd.,Fort St James,"$26,500.00",2019/04/18,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Concrete Campsite Number Post Bases (Kelowna and Hope),ITQ-005846,Itq,2019/03/19,0,2019/03/27,Kon Kast Products (2005) Ltd,Kelowna,"$20,787.20",2019/03/27,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",South Island Natural Resource District Bridge & Road Maintenance,EN20NAN601,ITT,2019/03/19,0,2019/04/17,Coastal Bridge & Construction Ltd.,Port Alberni,"$99,200.00",2019/04/17,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,JIRA Software Licenses (Victoria),ITQ-005838,Itq,2019/03/19,1,2019/03/21,Softchoice LP,Toronto,"$25,263.39",2019/03/25,Ontario,Canada
Ministry of Children and Family Development,Ministry of Children and Family Development,Notice of Intent to Direct Award a Contract -Gutteridge,GUTTERIDGEFY20,NOI,2019/03/19,1,2019/03/28,Dr. Ursula J. Gutteridge Inc,Vancouver,"$113,000.00",2019/04/01,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",IS19IIT096SRFP FULL STACK DEVELOPER,IS19IIT096SRFP,SRFP,2019/03/19,2,2019/03/22,Quartech Systems Ltd.,Victoria,"$249,900.00",2019/05/15,British Columbia,Canada
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Recruitment Services,SRFPEMB12,SRFP,2019/03/19,1,2019/03/29,TallSky Consulting Group LLP,Victoria,"$90,000.00",2019/05/13,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,srfp_Senior Mobile App Developer-Solution Architect final,BCDEDEVSA,SRFP,2019/03/19,0,2019/03/29,Randstad Technologies,Victoria,"$200,000.00",2019/04/04,British Columbia,Canada
Ministry of Children and Family Development,Ministry of Children and Family Development,Notice of Intent to Direct Award a Contract,STEVENSONFY20,NOI,2019/03/19,1,2019/03/28,Dr. Ronald Stevenson,Victoria,"$262,000.00",2019/04/01,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge Inspections - Rocky Mtn Resource District,EN20474-002,ITT,2019/03/20,0,2019/05/08,Vast Resource Solutions Inc.,Cranbrook,"$37,450.00",2019/05/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Silviculture Surveys,SU20DTR001,ITT,2019/03/20,2,2019/03/29,517568 B.C. Ltd. dba Atlas Information Management,Kamloops,"$108,080.85",2019/04/04,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing Hwy 1 Annis Pit to Malakwa 4-Lane,24926MJ0000,MOTITT,2019/03/20,1,2019/03/29,Emil Anderson Construction (EAC) Inc.,Kelowna,"$3,598,747.97",2019/04/03,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply and Load Aggregate (Cache Creek),ITQ-005847,Itq,2019/03/20,1,2019/03/27,Coast Range Concrete Ltd,Lillooet,"$49,008.96",2019/04/02,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Gypsy Moth Trap Placement and Retrieval ,FH20944-003,ITT,2019/03/20,0,2019/04/16,Karen Leslie Grainger,Naramata,"$10,692.00",2019/04/16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Design,Fabricate&Install Bridge-Remove Existing Wilcox/Dempsey",EN20474-010,ITT,2019/03/20,1,2019/04/12,West Bridge Corporation,North Vancouver,"$178,800.00",2019/04/16,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Replacement of Geikie Bridge No. 2, 3 & Preload of Geikie No. 1",37452MJ0000,MOTITT,2019/03/20,3,2019/03/28,Formula Contractors Ltd.,Prince George,"$5,750,000.00",2019/04/05,British Columbia,Canada
Ministry of Education,Ministry of Education,Project Director,EDU19-237-SRFP,SRFP,2019/03/20,5,2019/03/22,Carleton Project Management Inc.,Victoria,"$250,000.00",2019/05/15,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Fabrication and Delivery of Type Two Tables,ENV20-BCP-005,ITQ,2019/03/21,0,2019/03/29,N/A,,$0.00,2019/03/29,,
Ministry of Environment and Climate Change Strategy,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",IS19IIT098RFP FFS and CFSWeb Application,IS19IIT098RFP,RFP,2019/03/21,1,2019/03/27,QED Systems Inc,Bowen Island,"$100,000.00",2019/04/01,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Peace North National Forest Inventory (NFI) Sampling,1070-30/OT20FHQ013,ITT,2019/03/21,0,2019/04/04,Trevor Blenner-Hassett dba Forestec Forestry Consulting,Kamloops,"$171,560.00",2019/04/11,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,2 km of 4 lane highway construction of new brake check,23445MJ0001,MOTITT,2019/03/21,3,2019/03/28,Emil Anderson Construction (EAC) Inc.,Kelowna,"$51,508,795.27",2019/05/16,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Laboratory Grade Freezer (Nanaimo),ITQ-005850,Itq,2019/03/21,1,2019/03/25,ESBE Scientific Industries Inc,Markham,"$26,288.50",2019/03/26,Ontario,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Maintenance - Sumas Mountain FSR,EN20LMN301,ITT,2019/03/21,0,2019/04/11,Mission Contractors Ltd.,Mission,"$79,358.08",2019/04/12,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Cloud-Based Learning Management System,OS NRFP 10230,OSNRFP,2019/03/21,3,2019/04/03,"Noverant, Inc",Raleigh,"$37,000.00",2019/07/18,North Carolina,United States
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,To Supply and Deliver 60 Metal Fire Rings to Wasa Park,ENV20-BCP-007,ITQ,2019/03/21,0,2019/03/29,DNR pressure Welding Ltd.,Stettler,"$12,972.14",2019/04/03,Alberta,Canada
Procurement Services Branch,Ministry of Citizens' Services,IBM WebSphere Support Renewal (Victoria),ITQ-005854,Itq,2019/03/21,0,2019/03/27,Newcomp Analytics Inc.,Thornhill,"$69,376.44",2019/03/28,Ontario,Canada
Procurement Services Branch,Ministry of Citizens' Services,IBM HACP Support Renewal (Victoria),ITQ-005853,Itq,2019/03/21,0,2019/03/27,GlassHouse Systems Inc.,Toronto,"$12,468.96",2019/03/28,Ontario,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Forest Service Road Grading,EN20LMN304,ITT,2019/03/22,0,2019/04/24,Maharg Contracting Ltd.,Chilliwack,"$132,003.50",2019/04/30,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Collision Information System Administrator,TRAN-CIS-20190311,RFP,2019/03/22,3,2019/04/04,Matthew Ernest Nicoll dba Cypher Consulting,Courtenay,"$500,000.00",2019/04/26,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Peace South National Forest Inventory (NFI) Sampling,1070-30/OT20FHQ017,ITT,2019/03/22,0,2019/04/09,Hatch Woodlands Ltd.,Shawnigan Lake,"$163,631.00",2019/05/01,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Concrete Barrier (Avola & Tete Jaune),ITQ-005849,Itq,2019/03/25,1,2019/03/27,Kon Kast Products (2005) Ltd,Kelowna,"$241,140.48",2019/04/01,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Southern Interior Region Pavement Crack Sealing 2019,22597MJ2019,MOTITT,2019/03/25,0,2019/04/17,Seal Tec Industries Ltd.,Langley,"$679,340.00",2019/04/24,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Southern Interior Region Pavement Crack Sealing 2019,22597MJ2019,MOTITT,2019/03/25,0,2019/04/17,Seal Tec Industries Ltd.,Langley,"$679,340.00",2019/04/24,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","IS19IIT106RFP FSBWHSE, FFS AND CFS",IS19IIT106RFP,RFP,2019/03/25,2,2019/03/28,Island Tech Computer Group,Lantzville,"$200,000.00",2019/04/01,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,"Concrete Barrier (kelly Pit, Prince George)",ITQ-005848,Itq,2019/03/25,1,2019/03/27,Coast Range Concrete Ltd,Lillooet,"$72,083.90",2019/04/01,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Professional Environmental and Biological Services,EN20DOS001,ITT,2019/03/25,1,2019/04/05,KAREN L. GRAINGER,Naramata,"$18,000.00",2019/04/05,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Alex Fraser Bridge S15 Modular Joint Temporary Bridging Plate,12871MJ0001,MOTITT,2019/03/25,3,2019/03/29,Eiffage Innovative Canada Inc.,Nisku,"$392,100.00",2019/04/05,Alberta,Canada
Procurement Services Branch,Ministry of Citizens' Services,Symantec Data Encryption Support Renewal (Victoria),ITQ-005841,Itq,2019/03/25,2,2019/03/27,Codework Inc.,Ottawa,"$59,703.00",2019/03/29,Ontario,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Monitor for Road Maintenance and Deactivation Projects,EN20DTR005,ITT,2019/03/26,0,2019/04/17,KDC Forestry Consulting Ltd.,Clearwater,"$22,800.00",2019/05/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mackenzie South CMI-YSM Sampling,1070-30/OT20FHQ20,ITT,2019/03/26,0,2019/04/18,McColl Forestry Ltd.,Clinton,"$127,200.00",2019/05/07,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Field Sampling-Data Mngmnt & Summary & Scientific Report Edit,FH20944-006,ITT,2019/03/26,0,2019/04/30,Janice Hodge dba Forest Health Management,Gibsons,"$24,000.00",2019/04/30,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",EN20DTR003 - Grading of Roads - Kamloops,EN20DTR003,ITT,2019/03/26,1,2019/04/17,Eagle Nest Construction Ltd.,Knutsford,"$55,200.00",2019/04/23,British Columbia,Canada
