Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Kinaskan Lake Park Operator Agreement ITQ,BCP2020-02,ITQ,2021/02/01,0,2021/03/01,Alenna Kasner,Victoria,British Columbia,Canada,"$28,440.00",2021/04/01
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Construction Engineering Standard and Contracts Support,CMB20210211,SRFP,2021/02/22,2,2021/03/04,DL Shaw Consulting Inc,Kamloops,British Columbia,Canada,"$262,500.00",2021/04/01
Ministry of Education,Ministry of Education,Education Qualitative Insights Crowdsource Tool,EDU21-410-SRFP,SRFP,2021/01/12,4,2021/01/19,"Fulcrum Management Solutions, Ltd.",Rossland,British Columbia,Canada,"$49,500.00",2021/04/01
Ministry of Advanced Education & Skills Training,Ministry of Advanced Education & Skills Training,ETP20210210RFP Grant Management Employment Supports,ETP20210210RFP,RFP,2021/03/02,2,2021/03/10,N/A,,,,$0.00,2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Indigenous Cultural Liaison,FMCCFY22-01,NOI,2021/02/08,0,2021/02/23,Carlos Garibay,Agassiz,British Columbia,Canada,"$69,500.00",2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Indigenous Cultural Liaison ,FRCCFY22-01,SRFP,2021/02/25,0,2021/03/25,Jillian Currie DBA Ravensvision,Maple Ridge,British Columbia,Canada,"$228,250.00",2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Pre-Release Planning and Skills Training,FY2022 JHS,NOI,2021/03/02,0,2021/03/17,John Howard Society,Victoria,British Columbia,Canada,"$123,000.00",2021/04/01
Ministry of Attorney General,Ministry of Attorney General,Notice of Intent to Direct Award - Clinical Counsellor,GPEB2021C001,NOI,2021/01/21,1,2021/02/03,"COSSOM, Adrienne",Coquitlam,British Columbia,Canada,"$65,000.00",2021/04/01
Ministry of Attorney General,Ministry of Attorney General,LCRB Enforcement Hearing Delegates,LCRB- EHD0121-11952,RFP,2021/01/19,1,2021/02/10,Dianne Flood,Victoria,British Columbia,Canada,"$50,000.00",2021/04/01
Ministry of Attorney General,Ministry of Attorney General,LCRB Enforcement Hearing Delegates,LCRB- EHD0121-11952,RFP,2021/01/19,1,2021/02/10,Paul Devine Corporation,Vancouver,British Columbia,Canada,"$50,000.00",2021/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF22BCWS,RSO,2021/03/01,1,2021/03/25,653905 BC Ltd dba Sequoia Fuels,Castlegar,British Columbia,Canada,$0.00,2021/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mobile Aviation Fuel Services,MF22BCWS,RSO,2021/03/01,1,2021/03/25,Valhalla Helicopters Inc.,Kelowna,British Columbia,Canada,$0.00,2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Biomedical Waste Disposal,NFPCBIO2022,ITQ,2021/03/22,1,2021/03/26,Biomed Dispose-it,Burnaby,British Columbia,Canada,"$25,000.00",2021/04/01
Ministry of Attorney General,Ministry of Attorney General,NOI to direct award Writing Services,NOI - 002933,NOI,2021/03/18,1,2021/03/22,Cascadia Partners,Victoria,British Columbia,Canada,"$30,000.00",2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI MyOutcomes,NOI 20210305,DirectAward,2021/03/05,0,2021/03/14,MyOutcomes For Mental Well Being Inc,Kelowna,British Columbia,Canada,"$68,000.00",2021/04/01
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NOI to award administrative support services contract,NOI 20210312,NOI,2021/03/17,1,2021/03/21,Sandra Isbister,Surrey,British Columbia,Canada,"$15,000.00",2021/04/01
Ministry of Attorney General,Ministry of Attorney General,Health Professions Review Board - Legal Services Direct Award,NOI-12037,NOI,2021/02/10,0,2021/02/24,Alison Latimer,Vancouver,British Columbia,Canada,"$500,000.00",2021/04/01
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Prime Consulting Services for Hospital Upgrade ,ON-003611,RFP,2021/03/02,4,2021/03/08,Chernoff Thompson Architects,Vancouver,British Columbia,Canada,"$130,850.00",2021/04/01
