Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Provincial Health Services Authority (Incl. BCCSS),,Translogic Pneumatic Tube system upgrade mordernization,PHSA 9525,Notice of Intent (BPS),2022-10-28,,,Translogic Ltd.,,,,373148,2022-10-10
Provincial Health Services Authority (Incl. BCCSS),,CANCELLED,PHSA 00000,Other: Procurement Type,2022-12-16,,,Johnson Controls Inc. ,"1485 Lindsey Place, Delta, B.C. V3M 6V1, Canada",,,0,2022-12-16
Provincial Health Services Authority (Incl. BCCSS),,VERO Labour Service Agreement,PHSA 10330,Notice of Intent (BPS),2022-10-31,,,"Brainlab, Inc.","1000-5 Westbrook Corporate Center
Westchester  IL  60154 USA",,,274960,2022-10-29
Provincial Health Services Authority (Incl. BCCSS),,Cone Beam CT,8980,Invitation to Quote,2022-10-31,,,No Respondents,,,,0,2022-10-31
Provincial Health Services Authority (Incl. BCCSS),,IHA Long Term Care Handrails,PHSA 10404,Notice of Intent (BPS),2022-12-13,,,AccessSMT,,,,1712500,2022-11-17
Provincial Health Services Authority (Incl. BCCSS),,PHSA 10509 Nanostring C0sMx SMI Instrument,9909,Notice of Intent (BPS),2022-12-14,,,Nanostring Technologies Inc.," 530 Fairview Avenue North Suite 2000, Seattle, WA, 98109",,,353740,2022-12-14
Provincial Health Services Authority (Incl. BCCSS),,"Peripherally Inserted Central Catheter (PICCs), 3Fr and Greater",CL03218AN,Other: Procurement Type,2022-12-12,,,AngioDynamics Canada,,,,921000,2022-12-02
Provincial Health Services Authority (Incl. BCCSS),,"Peripherally Inserted Central Catheter (PICCS), 3FR and Greater",CL03218,Other: Procurement Type,2022-12-12,,,Multiple,,,,4025000,2022-12-02
Provincial Health Services Authority (Incl. BCCSS),,PHSA 03795 Elevator Maintenance Services,PHSA 03795,Request for Proposal,2022-12-08,,,Richmond Elevator Maintenance Ltd,"12091 No 5 Road, Richmond BC, V7A4E9",,,19400000,2022-12-08
Provincial Health Services Authority (Incl. BCCSS),,IRRIGATION SOLUTIONS,03722,Invitation to Quote,2022-12-08,,,Baxter Corporation ,,,,6000000,2022-12-06
Provincial Health Services Authority (Incl. BCCSS),,INTRAVENOUS AND IRRIGATION SETS AND SOLUTIONS,03711,Direct Award,2022-12-08,,,Baxter Corporation ,,,,9800000,2022-10-24
Provincial Health Services Authority (Incl. BCCSS),,RFP BC Cancer Kelowna - Linac replacement and Vault room renovation #1258 and associated Control area #1259,8061,Request for Proposal,2022-12-08,,,IBI Group,,,,111964,2022-12-06
Provincial Health Services Authority (Incl. BCCSS),,Onboard HealthPro Contract CL03214HO Ostomy Supplies,CL03214,Other: Procurement Type,2022-12-05,,,Hollister Canada Ltd. ,"95 Eric T Smith Way Unit #1
Aurora, Ontario 
Canada, L4G 0Z6",,,6760000,2022-12-01
Provincial Health Services Authority (Incl. BCCSS),,Mass Spectrometers Liquid Chromatography - Tandem (LC-MS) System,PHSA 09612,Invitation to Quote,2022-12-01,,,Waters Limited,,,,450000,2022-10-31
Provincial Health Services Authority (Incl. BCCSS),,Residential Sites (6) CST Network Readiness,VCH20220719-01,Invitation to Quote,2022-12-02,,,Sudden Technologies,,,,92510.5,2022-11-15
Provincial Health Services Authority (Incl. BCCSS),,VCH - Repatriation of Long Term Care Sites to VCH,VCH20220812-01,Invitation to Quote,2022-12-02,,,Sudden Technologies,,,,113330.73,2022-11-01
