Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Revelstoke Phase 1 VRI Quality Assurance,1070-30/OT21FHQ092,ITT,2020/06/09,0,2020/06/23,1634459 Alberta Ltd,Edmonton,Alberta,Canada,"$77,949.05",2020/07/01
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Peace Arch Provincial Park – Peace Arch Monument Re-Coating,ITT# CP21LME0020,ITT,2020/06/10,1,2020/06/17,Unitus Painting Ltd.,Aldergrove,British Columbia,Canada,"$148,361.00",2020/07/02
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Cariboo District Thermoplastic and Paint Application,23353MJ2020,MOTITT,2020/05/26,1,2020/06/19,647354 B.C. Ltd. Dba Aardvark Pavement Marking Services,Kelowna,British Columbia,Canada,"$257,011.76",2020/07/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",SE Nicola Invasive Plant Inventory & Treatment,IV21HRA740,SRFP,2020/06/01,3,2020/06/15,Spectrum Resource Group Inc,Prince George,British Columbia,Canada,"$50,742.50",2020/07/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",SW Nicola Invasive Plant Survey and Treatment,IV21HRA742,SRFP,2020/06/11,1,2020/06/18,Spectrum Resource Group Inc,Prince George,British Columbia,Canada,"$40,995.00",2020/07/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",SE Thompson Invasive Plant Inventory & Treatment,IV21HRA744,SRFP,2020/06/11,1,2020/06/18,Spectrum Resource Group Inc.,Prince George,British Columbia,Canada,"$55,742.50",2020/07/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",N Thompson Invasive Plant Survey and Treatment,IV21HRA746,SRFP,2020/06/11,1,2020/06/18,Spectrum Resource Group Inc,Prince George,British Columbia,Canada,"$65,742.50",2020/07/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",W Thompson Invasive Plant Survey and Treatment,IV21HRA747A,SRFP,2020/06/11,1,2020/06/18,Spectrum Resource Group Inc,Prince George,British Columbia,Canada,"$41,490.00",2020/07/02
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Sooke Pedestrian Enhancements,16803MJ0001,MOTITT,2020/06/12,3,2020/06/19,Ramida Enterprises Ltd.,Sooke,British Columbia,Canada,"$771,145.85",2020/07/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",ne Nicola Invasive Plant Inventory & Treatment,IV21HRA741,SRFP,2020/06/16,2,2020/06/18,Spectrum Resource Group Inc,Victoria,British Columbia,Canada,"$33,882.20",2020/07/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",NW Nicola Invasive Plant Inventory & Treatment,IV21HRA743,SRFP,2020/05/28,0,2020/06/18,Spectrum Resource Group Inc,Victoria,British Columbia,Canada,"$34,342.00",2020/07/02
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cranbrook Fire Zone - Breezeway Construction,LM21WHQ0115,ITT,2020/05/28,1,2020/06/03,Tye Log Homes,Victoria,British Columbia,Canada,"$77,938.18",2020/07/02
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Peace Arch Provincial Park – Operator Yard Buildings Re-Roofing,ITT# CP21LME0015,ITT,2020/06/04,2,2020/06/09,N/A,,,,$0.00,2020/07/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Dawson Creek South CMI & YSM Sampling,1070-30/OT21FHQ077,ITT,2020/05/22,0,2020/06/11,McColl Forestry Ltd.,Clinton,British Columbia,Canada,"$65,269.94",2020/07/03
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Supply and Install Steel Pipe Piles and Riprap Scour Protection,12207MJ0001,MOTITT,2020/06/18,3,2020/06/24,Cutting Edge Consulting Inc.,Kamloops,British Columbia,Canada,"$1,039,575.00",2020/07/03
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Portia Bridge No. 2835 Resurfacing and Deck Joint Replacement,25144MJ0000,MOTITT,2020/05/29,0,2020/06/30,Cortez Construction Ltd.,Kamloops,British Columbia,Canada,"$1,710,046.00",2020/07/03
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Portia Bridge No. 2835 Resurfacing and Deck Joint Replacement,25144MJ0000,MOTITT,2020/05/29,0,2020/06/30,Cortez Construction Ltd.,Kamloops,British Columbia,Canada,"$1,710,046.00",2020/07/03
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Traffic Control and First Aid Services - Service Area 18,20144OP1820,MOTITT,2020/05/27,1,2020/06/04,Alliance Traffic Group Inc.,Prince George,British Columbia,Canada,"$212,400.00",2020/07/03
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Predictive Ecosystem Mapping (PEM) Field Data Collection ,1070-30/OT21FHQ093,ITQ,2020/06/18,2,2020/06/19,N/A,,,,$0.00,2020/07/06
