Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,EC Manning Park Fuel Management Prescriptions and Assessment,GS21PNE200,RFP,2020/08/12,2,2020/08/12,Frontline Operations Group ltd.,Coldstream,British Columbia,Canada,"$32,608.11",2020/07/06
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fuel Management Prescriptions and Field Layout,FS21DRM001,ITT,2020/06/25,1,2020/07/06,Tanglefoot Forestry Consultants Ltd.,Cranbrook,British Columbia,Canada,"$52,016.00",2020/07/06
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Plastics and single-use items economic analysis,11458,RFP,2020/06/22,2,2020/06/25,ChemInfo Services Inc,Markham,Ontario,Canada,"$74,900.00",2020/07/06
Ministry of Attorney General,Ministry of Attorney General,SFRFP 11346 Mediation Services for BC Human Rights Tribunal ,11346,SRFP,2020/05/07,8,2020/05/21,Matthews Mediation,Mission,British Columbia,Canada,"$14,000.00",2020/07/06
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Southern Interior Region LED Upgrade Program,25170MJ2020,MOTITT,2020/06/12,1,2020/06/24,Bergevin Electrical Contracting Ltd.,Nelson,British Columbia,Canada,"$219,840.00",2020/07/06
Ministry of Attorney General,Ministry of Attorney General,SFRFP 11346 Mediation Services for BC Human Rights Tribunal ,11346,SRFP,2020/05/07,8,2020/05/21,Beltgens Law,Victoria,British Columbia,Canada,"$14,000.00",2020/07/06
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Upgrading existing HPS fixtures with LED fixtures,37773MJ0000,MOTITT,2020/06/02,0,2020/06/23,No Bids Received,Victoria,British Columbia,Canada,$0.00,2020/07/06
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Upgrading existing HPS fixtures with LED fixtures,37773MJ0000,MOTITT,2020/06/02,0,2020/06/23,No Bids Received,Victoria,British Columbia,Canada,$0.00,2020/07/06
Ministry of Health,Ministry of Health,Resource for Substance Use Prevention & Harm Reduction,RFPHL2021-001,RFP,2020/05/13,0,2020/06/10,N/A,,,,$0.00,2020/07/07
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bridge Substructure N1-185 and N1-186A (Cranbrook Area),ITQ-006256,Itq,2020/06/16,0,2020/06/30,Pioneer Precast Products,Chilliwack,British Columbia,Canada,"$52,306.24",2020/07/07
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Traffic Control & First Aid ""As and When"" Contrac",20144OP1620,MOTITT,2020/06/10,1,2020/06/25,Alliance Traffic Group Inc.,Prince George,British Columbia,Canada,"$89,900.00",2020/07/07
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Ambient Air Analyzer; Ozone O3 (Victoria),ITQ-006258,Itq,2020/06/24,1,2020/06/26,J. C. Andelle Inc.,Richmond,British Columbia,Canada,"$16,695.84",2020/07/07
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,"Ambient Air Analyzer, Sulphur Dioxide Trace Level (Victoria)",ITQ-006262,Itq,2020/06/26,3,2020/06/29,J. C. Andelle Inc.,Richmond,British Columbia,Canada,"$23,963.52",2020/07/07
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Graded Aggregate Seal Coat 2020/21 (88.0 Lane Km),37730MJ0000,MOTITT,2020/06/23,1,2020/07/03,White Bear Industries Ltd.,Terrace,British Columbia,Canada,"$2,215,720.00",2020/07/07
Ministry of Attorney General,Ministry of Attorney General,SFRFP 11346 Mediation Services for BC Human Rights Tribunal ,11346,SRFP,2020/05/07,8,2020/05/21,Blackstone Law Corporation,Vancouver,British Columbia,Canada,"$12,000.00",2020/07/07
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,SNC-Lavalin Inc.,Burnaby,British Columbia,Canada,$0.00,2020/07/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,Stantec Consulting Ltd.,Burnaby,British Columbia,Canada,$0.00,2020/07/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,VAST Resource Solutions Inc,Cranbrook,British Columbia,Canada,$0.00,2020/07/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,Westrek Geotechnical Services Ltd,Kamloops,British Columbia,Canada,$0.00,2020/07/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,Tetra Tech Canada Inc,Kelowna,British Columbia,Canada,$0.00,2020/07/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,McElhanney Ltd.,Nanaimo,British Columbia,Canada,$0.00,2020/07/08
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Chainsaw Parts (Chilliwack & Prince George),ITQ-006260,Itq,2020/06/17,0,2020/06/26,Western Equipment Ltd,Prince George,British Columbia,Canada,$0.00,2020/07/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Class D Graded Aggregate Seal Coat, H16 from Engen to Vanderhoof",37775MJ0000,MOTITT,2020/06/09,0,2020/06/25,O.K. Industries Ltd.,Saanichton,British Columbia,Canada,"$944,750.00",2020/07/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Class D Graded Aggregate Seal Coat, H16 from Engen to Vanderhoof",37775MJ0000,MOTITT,2020/06/09,0,2020/06/25,O.K. Industries Ltd.,Saanichton,British Columbia,Canada,"$944,750.00",2020/07/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Class D Graded Aggregate Seal Coat, H16 from Engen to Vanderhoof",37775MJ0000,MOTITT,2020/06/09,0,2020/06/25,O.K. Industries Ltd.,Saanichton,British Columbia,Canada,"$944,750.00",2020/07/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Class D Graded Aggregate Seal Coat, H16 from Engen to Vanderhoof",37775MJ0000,MOTITT,2020/06/09,0,2020/06/25,O.K. Industries Ltd.,Saanichton,British Columbia,Canada,"$944,750.00",2020/07/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cranberry Connector Reconstruction,EN21PGN328,ITT,2020/07/02,1,2020/07/08,West Horizon Contracting Inc.,Smithers,British Columbia,Canada,"$136,650.00",2020/07/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,Ecora Engineering & Resource Group Ltd.,Vancouver,British Columbia,Canada,$0.00,2020/07/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,Golder Associates Ltd.,Vancouver,British Columbia,Canada,$0.00,2020/07/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,Phillips & Associates,Vancouver,British Columbia,Canada,$0.00,2020/07/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,WSP,Vancouver,British Columbia,Canada,$0.00,2020/07/08
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Geotechnical Engineering Services,on-003472,RQU,2020/04/27,1,2020/05/07,CN Ryzuk & Associates Ltd,Victoria,British Columbia,Canada,$0.00,2020/07/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",3 Bridge Installations Wildhorse Creek FSR,EN21474-015,ITT,2020/06/18,0,2020/07/07,Sorenson Excavating Ltd.,Castlegar,British Columbia,Canada,"$211,700.00",2020/07/09
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Provincial Land Survey Roster,8112018,RQU,2018/11/08,0,2018/12/03,Target Land Surveying,Coquitlam,British Columbia,Canada,"$3,000.00",2020/07/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",QC Mainline & Rennell Pass Crossing Replacement Project,EN21NAN802,ITT,2020/06/02,0,2020/06/30,Xaayda Ventures Inc.,Skidegate,British Columbia,Canada,"$144,410.00",2020/07/09
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Construction of signalized intersection,12846MJ0001,MOTITT,2020/06/26,4,2020/07/07,Jacob Bros. Construction Inc.,Surrey,British Columbia,Canada,"$4,972,499.00",2020/07/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Water filtration system at the Cranbrook Fire Zone,ITQ21BCWSHQ001,ITQ,2020/06/23,1,2020/07/06,Stephen Engineering Associates,Victoria,British Columbia,Canada,"$4,950.00",2020/07/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",PGTIS - Transport of 3 wide Trailer to Quesnel,OT21WHQ0160,ITT,2020/06/25,3,2020/06/30,Blue Collar Camps,Victoria,British Columbia,Canada,"$66,449.00",2020/07/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS21MRB320 - Kicking Horse WRR Operational Treatments,GS21MRB320,ITT,2020/06/25,2,2020/07/07,Golden Fire Jumpers Ltd.,Golden,British Columbia,Canada,"$146,512.80",2020/07/10
Procurement Services Branch,Ministry of Transportation and Infrastructure,Alex Fraser Bridge Joint Replacement (Delta),ITQ-006246,Itq,2020/06/19,1,2020/07/06,Maurer Structural Protection Systems Canada Ltd.,Langley,British Columbia,Canada,"$504,992.32",2020/07/10
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GBAITN application and database development,GEOBC-202005-1,SRFP,2020/06/08,0,2020/07/03,Revolution Systems Inc,North Vancouver,British Columbia,Canada,"$80,000.00",2020/07/10
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Fertilization Recce Surveys, Prescriptions and Monitorin",IM21DSE001,ITT,2020/07/07,2,2020/07/10,B A Blackwell & Associates Ltd,North Vancouver,British Columbia,Canada,"$209,625.00",2020/07/10
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Haida Gwaii - Graham Island FSR Maintenance,EN21NAN803,ITT,2020/07/03,1,2020/07/08,Skidegate Inlet Construction Ltd.,Queen Charlotte,British Columbia,Canada,"$44,175.00",2020/07/10
Ministry of Citizens' Services,Ministry of Citizens' Services,"Elevator Modernization (5) 1515 Blanshard Street, Victoria BC",on-003514,ITT,2020/06/18,3,2020/06/24,Richmond Elevator,Victoria,British Columbia,Canada,"$941,000.00",2020/07/10
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Analyzing the Impacts of Climate Change on Diverse Populations,11428,RFP,2020/06/16,7,2020/06/17,Simon Fraser University,Burnaby,British Columbia,Canada,"$30,000.00",2020/07/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Gollen Creek Forest Service Road LBIS Bridge Installation,EN21DTR005,ITT,2020/04/30,0,2020/05/22,West Bridge Corporation,Kamloops,British Columbia,Canada,"$148,600.00",2020/07/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Wildfire Risk Reduction Tactical Plan & Prescription Development,GS21FSJ0002,RFP,2020/06/19,6,2020/06/22,Frontera Forest Solutions Inc.,North Vancouver,British Columbia,Canada,"$167,669.00",2020/07/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.", Detailed Aerial Overview Surveys - Skeena Region,FH21DSS001,ITT,2020/06/19,0,2020/07/10,SKY Helicopters Inc.,Pitt Meadows,British Columbia,Canada,"$166,960.00",2020/07/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Relocation / New Road Construction,EN21LMN103,ITT,2020/06/19,0,2020/07/13,Bob Marquis Contracting Ltd.,Powell River,British Columbia,Canada,"$168,640.00",2020/07/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Granisle FSR Reconstruction Phase 2 ,EN21PGN331,ITT,2020/06/25,2,2020/07/09,Mellroy Contracting Ltd.,Telkwa,British Columbia,Canada,"$134,200.00",2020/07/13
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Alaska Highway No. 97 and Swanson Lumber Road Signalization,37387MJ0000,MOTITT,2020/06/10,0,2020/07/09,IDL Projects Inc.,Prince George,British Columbia,Canada,"$4,927,830.80",2020/07/14
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Alaska Highway No. 97 and Swanson Lumber Road Signalization,37387MJ0000,MOTITT,2020/06/10,0,2020/07/09,IDL Projects Inc.,Prince George,British Columbia,Canada,"$4,927,830.80",2020/07/14
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Chainsaw Operator Accessories (Chilliwack and Prince George),ITQ-006259,Itq,2020/06/16,0,2020/06/25,"Motion Industries (Canada), Inc.",Abbotsford,British Columbia,Canada,$0.00,2020/07/15
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer for Compass & GPS Units,ITQ-006264,Itq,2020/06/19,0,2020/06/29,"Motion Industries (Canada), Inc.",Abbotsford,British Columbia,Canada,$0.00,2020/07/15
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing Hwy 3 Osoyoos to Chapman Road,25105MJ0000,MOTITT,2020/06/22,0,2020/07/08,Terus Construction Ltd. Dba Selkirk Paving,Crescent Valley,British Columbia,Canada,"$3,289,775.68",2020/07/15
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing Hwy 3 Osoyoos to Chapman Road,25105MJ0000,MOTITT,2020/06/22,0,2020/07/08,Terus Construction Ltd. Dba Selkirk Paving,Crescent Valley,British Columbia,Canada,"$3,289,775.68",2020/07/15
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,AS & WHEN REQUIRED FIRST AID SERVICES - NORTH PEACE,331LM4863-FA,ITB,2020/07/09,0,2020/07/15,Kharma Safety Ltd.,Fort St John,British Columbia,Canada,"$50,000.00",2020/07/15
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Approx 3 kms of CMB, includes Crash Attenuators with Flashers",25049MJ0002,MOTITT,2020/05/29,1,2020/06/18,Dawson Civil Ltd.,Kamloops,British Columbia,Canada,"$894,320.00",2020/07/15
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Quantity 4 Cattleguards (Chase, BC)",ITQ-006265,Itq,2020/07/06,0,2020/07/14,Shic Enterprises Ltd,Merritt,British Columbia,Canada,"$38,964.80",2020/07/15
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Chainsaw Operator Accessories (Chilliwack and Prince George),ITQ-006259,Itq,2020/06/16,0,2020/06/25,Prototype Integrated Solutions Inc,Milner,British Columbia,Canada,$0.00,2020/07/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Close Proximity Bridge Inspections-North Area,EN21PGN301,ITT,2020/06/30,1,2020/07/15,Onsite Engineering Ltd.,Prince George,British Columbia,Canada,"$64,964.00",2020/07/15
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,#37249-0006 Highway No. 29 Bear Flat - Cache Creek,37249MJ0006,MOTITT,2020/06/19,6,2020/06/26,Kingston Construction Ltd.,Surrey,British Columbia,Canada,"$79,183,072.00",2020/07/15
Procurement Services Branch,Ministry of Citizens' Services,Four (4) NVivo 12 Pro Perpetual Licenses,ITQ-006266,Itq,2020/07/07,0,2020/07/13,Softchoice LP,Vancouver,British Columbia,Canada,"$6,375.71",2020/07/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Sea to Sky District Fuel Management Prescriptions,GS21LMN211,ITT,2020/06/11,2,2020/06/25,frontera Forest Solutions Inc,North Vancouver,British Columbia,Canada,"$35,995.00",2020/07/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Sea to Sky District Fuel Management Prescriptions,GS21LMN211,ITT,2020/06/11,2,2020/06/25,Frontera Forest Solutions Ltd.,North Vancouver,British Columbia,Canada,"$35,995.00",2020/07/16
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,ROSLYN CREEK OFF-CHANNEL HABITAT IMPROVEMENT PROJECT,12452MN0004,MOTITT,2020/06/23,0,2020/07/09,New Rhodes Construction Inc.,Pitt Meadows,British Columbia,Canada,"$78,185.85",2020/07/16
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,ROSLYN CREEK OFF-CHANNEL HABITAT IMPROVEMENT PROJECT,12452MN0004,MOTITT,2020/06/23,0,2020/07/09,New Rhodes Construction Inc.,Pitt Meadows,British Columbia,Canada,"$78,185.85",2020/07/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",FFT Surveys and Treatment Boundary Layout in the Mackenzie FD,10005-40/SU21DMK002A,ITT,2020/06/16,0,2020/06/30,Coastal Natural Resource Management Ltd.,West Vancouver,British Columbia,Canada,$0.00,2020/07/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Sea to Sky District Fuel Management Prescriptions,GS21LMN210,ITT,2020/06/11,5,2020/06/25,Frontline Operations Group ltd.,Coldstream,British Columbia,Canada,"$36,545.00",2020/07/17
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS21MRB314 - Hudson Bay Mountain WRR Prescriptions,GS21MRB314,ITT,2020/07/02,1,2020/07/09,Silvicon Services Inc.,Smithers,British Columbia,Canada,"$19,778.60",2020/07/17
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",GS21MRB314 - Hudson Bay Mountain WRR Prescriptions,GS21MRB314,ITT,2020/07/02,1,2020/07/09,Silvicon Services Inc.,Smithers,British Columbia,Canada,"$19,778.60",2020/07/17
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Akamina-Kishinena Provincial Park Fire Recovery Project – Ph. 2 ,ENV21-BCPKO-15,ITT,2020/06/25,3,2020/07/03,Robson Design Build,Valemount,British Columbia,Canada,"$786,417.00",2020/07/17
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",REQUEST FOR STANDING OFFER FOR FIRST AID KITS (CHILLIWACK & PG),ITQ-006255,Itq,2020/06/22,2,2020/06/24,Columbia Fire and Safety Ltd,Victoria,British Columbia,Canada,$0.00,2020/07/17
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Site Preparation Grizzly Creek,SP21LMN002,ITT,2020/06/29,0,2020/07/20,N/A,,,,$0.00,2020/07/21
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Site Preparation Grizzly Creek,SP21LMN002,ITT,2020/06/29,0,2020/07/20,N/A,,,,$0.00,2020/07/21
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Installation of Electric Vehicle Charging Stations at Rest Areas,37483MJ0002,MOTITT,2020/07/08,1,2020/07/14,Fraser City Installations (1989) Ltd.,Abbotsford,British Columbia,Canada,"$11,743,425.00",2020/07/21
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Improvements - 21km Coglistiko FSR Cariboo Region,EN21474-023,ITT,2020/06/19,0,2020/07/14,Amboy Logging Ltd.,Quesnel,British Columbia,Canada,"$61,278.00",2020/07/21
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Provincial Land Survey Roster,8112018,RQU,2018/11/08,0,2018/12/03,Target Land Surveying (NW),Coquitlam,British Columbia,Canada,"$3,500.00",2020/07/23
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Predictive Ecosystem Mapping (PEM) Methods Field Data Collection,1070-30/OT21FHQ123,ITQ,2020/07/06,0,2020/07/20,ECORA ENGINEERING AND RESOURCE GROUP LTD.,Kelowna,British Columbia,Canada,"$57,795.00",2020/07/23
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,New CVSE pullout and rest area and intersection improvements,25042MJ0000,MOTITT,2020/07/15,1,2020/07/22,Okanagan Aggregates Ltd.,Armstrong,British Columbia,Canada,"$3,086,446.50",2020/07/24
