Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Supply and Delivery of Antennas (Kamloops),ITQ-006135,Itq,2020-02-10,0,2020-02-18,Walco Radio & Electronics Ltd.,Kamloops,"$24,528.00",2020-02-20,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Environmental Management Services, PBR Project",PBR ENV 2020 12,RFP,2020-01-13,5,2020-01-17,Tetra Tech Canada Inc,Vancouver,"$1,590,855.00",2020-02-21,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer for Duracell Batteries,ITQ-006124,Itq,2020-01-31,0,2020-02-11,Inter Trade Canada LTD.,Surrey,$0.00,2020-02-21,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt surfacing Highway 95A Cranbrook to Marysville,25091MJ0000,MOTITT,2020-02-05,1,2020-02-19,Okanagan Aggregates Ltd.,Armstrong,"$6,259,230.00",2020-02-21,British Columbia,Canada
Ministry of Attorney General,Ministry of Attorney General,Notice of Intent to contract with Mediate BC Society (MBC) ,MBC 02-2020,NOI,2020-02-07,0,2020-02-21,Mediate BC Society,Victoria,"$104,000.00",2020-02-21,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Supply & Delivery of Picnic Tables (Summerland),ITQ-006131,Itq,2020-02-11,2,2020-02-13,TXN Installations Ltd.,Invermere,"$77,249.76",2020-02-21,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Communications System Analyzer (Victoria),ITQ-006137,Itq,2020-02-11,0,2020-02-19,"Navair Technologies, Inc",Mississauga,"$108,464.16",2020-02-21,Ontario,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Quantity Surveyor, Major Capital Projects",TIC QSS 2020 01,RFP,2019-12-04,1,2019-12-20,Anthony Steadman and Associates Inc.,Victoria,"$1,407,680.00",2020-02-24,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fuel Management Survey Standard,SRP122-1,SRFP,2019-12-11,0,2020-01-10,B.A. BLACKWELL & ASSOCIATES LTD.,Vancouver,"$60,000.00",2020-02-24,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer for Hard Hats & Accessories,ITQ-006123,Itq,2020-01-31,0,2020-02-11,Bunzl Canada Inc,Coquitlam,$0.00,2020-02-24,British Columbia,Canada
