Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Procurement Services Branch,Ministry of Transportation and Infrastructure,Corrugated Steel Pipe (Campbell River),ITQ-006174,Itq,2020-03-09,0,2020-03-16,Canada Culvert,Langley,"$41,467.10",2020-03-16,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Supply & Delivery of Type I Picnic Table Leg Sets & Pads,ITQ-006157,Itq,2020-02-26,0,2020-03-05,Leko Pre-cast Ltd,Vernon,"$140,201.46",2020-03-17,British Columbia,Canada
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,Microfocus Maintenance and Support Renewal,ITQ-006168,Itq,2020-03-05,0,2020-03-13,Micro Focus Software Solutions Canada,Ottawa,"$109,598.13",2020-03-17,Ontario,Canada
Procurement Services Branch,Ministry of Citizens' Services,HCL Domino Collaboration Express Licenses and Support,ITQ-006170,Itq,2020-03-05,0,2020-03-13,GlassHouse Systems Inc.,Toronto,"$17,495.86",2020-03-17,Ontario,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Supply & Deliver New Steel Pipe (Cranbrook),ITQ-006173,Itq,2020-03-09,1,2020-03-16,Fission Solutions Inc.,Saskatoon,"$22,080.00",2020-03-17,Saskatchewan,Canada
Procurement Services Branch,Ministry of Attorney General,Hollinger Records Boxes (Vancouver),ITQ-006134R,Itq,2020-03-09,1,2020-03-13,1002384BC LTD,Surrey,"$11,928.00",2020-03-17,British Columbia,Canada
Ministry of Children and Family Development,Ministry of Children and Family Development,Child and Youth Care Worker Program for the South Okanagan,DMA200212,SRFP,2020-02-18,1,2020-03-11,ARC Programs Ltd.,Kelowna,"$146,000.00",2020-03-18,British Columbia,Canada
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,Software AG Software Maintenance & Support Renewal,ITQ-006169,Itq,2020-03-05,0,2020-03-13,"Software AG, Inc",Reston,"$148,305.74",2020-03-18,Virginia,United States
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Maintenance and Management of Begbie Falls Recreation Fee Site,PA20-DCO-031,RFP,2020-02-12,0,2020-03-09,Cedar and Spruce Consulting,Revelstoke,$0.00,2020-03-19,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Economic Impacts of Ocean Sectors in Pacific Canada,GS20NAN1500,RFP,2020-02-13,1,2020-02-21,Big River Analytics Ltd.,Terrace,"$147,000.00",2020-03-19,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Hot-In-Place recycling, Hwy 97/Hwy 6 Vernon and Falkland Area",25082MJ0000,MOTITT,2020-02-28,0,2020-03-17,Green Roads Recycling Ltd.,Fernie,"$5,885,072.25",2020-03-19,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Hot-In-Place recycling, Hwy 97/Hwy 6 Vernon and Falkland Area",25082MJ0000,MOTITT,2020-02-28,0,2020-03-17,Green Roads Recycling Ltd.,Fernie,"$5,885,072.25",2020-03-19,British Columbia,Canada
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,Informatica Software Maintenance and Support Renewal,ITQ-006176,Itq,2020-03-10,0,2020-03-18,Informatica LLC,Redwood City,"$90,528.36",2020-03-19,California,United States
Procurement Services Branch,Ministry of Transportation and Infrastructure,SUPPLY & DELIVERY OF KENWOOD PORTABLE & MOBILE RADIOS (SURREY),ITQ-006175,Itq,2020-03-10,1,2020-03-17,Victoria Mobile Radio Ltd,Victoria,"$22,120.00",2020-03-19,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Splunk Enterprise Support Renewal,ITQ-006171,Itq,2020-03-12,1,2020-03-16,CDW Canada Inc,Etobicoke,"$14,602.68",2020-03-19,Ontario,Canada
Procurement Services Branch,Ministry of Citizens' Services,Jira License Renewals and Plug-ins ,ITQ-006167,Itq,2020-03-05,0,2020-03-11,Highway Three Solutions (2013) Ltd.,Victoria,"$15,458.10",2020-03-20,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Concrete Interlocking Blocks (various locations),ITQ-006172,Itq,2020-03-09,0,2020-03-17,Terus Construction Ltd,Crescent Valley,"$61,213.05",2020-03-20,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,JIRA and Confluence Support Renewal,ITQ-006179,Itq,2020-03-12,0,2020-03-19,Highway Three Solutions (2013) Ltd.,Victoria,"$17,686.20",2020-03-20,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,IBM WebSphere Support Renewal,ITQ-006159,Itq,2020-02-26,0,2020-03-05,Softchoice LP,Toronto,"$85,977.45",2020-03-23,Ontario,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Replacement of Gold Creek Bridge and Geikie Bridge No. 1,37452MJ0001,MOTITT,2020-03-03,3,2020-03-10,Formula Contractors Ltd.,Prince George,"$5,400,000.00",2020-03-23,British Columbia,Canada
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Indigenous Liaison Worker,SRFPKRCC11165,SRFP,2020-03-10,2,2020-03-17,Asini'atik Cultural Services,Pinantan Lake,"$83,000.00",2020-03-23,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Symantec Data Encryption Support Renewal (Victoria),ITQ-006178,Itq,2020-03-11,0,2020-03-18,Codework Inc.,Ottawa,"$62,506.50",2020-03-23,Ontario,Canada
Procurement Services Branch,Ministry of Citizens' Services,Citrix Virtual Apps Advanced Edition License Renewal,ITQ-006181,Itq,2020-03-13,0,2020-03-20,Citrix Systems Inc.,Fort Lauderdale,"$95,030.00",2020-03-23,Florida,United States
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Gypsy Moth Eradication Ground Support 2020,1070-30/FH20FHQ334,ITT,2020-02-13,1,2020-02-28,WOODSTOCK MANAGEMENT INC.,Nanaimo,"$48,000.00",2020-03-25,British Columbia,Canada
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,SFRP for Lifeskills Worker at Surrey Pretrial Sevices Centre,SPSCLIF2001,SRFP,2020-02-13,0,2020-03-06,Pacific Women's Services Center,White Rock,$0.00,2020-03-25,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Rock Slope Stabilization,86002MJ0248,MOTITT,2020-02-25,0,2020-03-17,Dynamite Construction Ltd.,Kamloops,"$585,560.00",2020-03-25,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Rock Slope Stabilization,86002MJ0248,MOTITT,2020-02-25,0,2020-03-17,Dynamite Construction Ltd.,Kamloops,"$585,560.00",2020-03-25,British Columbia,Canada
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,SFRP for a Community Reintegration Worker at Surrey Pretrial,SPSCCOM2001,SRFP,2020-02-26,1,2020-03-06,Pacific Women's Services,White Rock,$0.00,2020-03-25,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Intermittent Asphalt Surfacing Hwy 97 McLeese Lake to Dale Lake,25093MJ0000,MOTITT,2020-03-04,2,2020-03-19,Key-West Asphalt (333) Ltd.,Surrey,"$7,322,603.00",2020-03-25,British Columbia,Canada
Procurement Services Branch,Ministry of Attorney General,Hollinger Records Boxes (Vancouver),ITQ-006134R,Itq,2020-03-09,1,2020-03-13,Hollinger Metal Edge Inc.,FREDERICKSBURG,"$7,455.00",2020-03-25,Virginia,United States
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Dover Trail Upgrade and  Viewing Platform Construction ,CP21SME003,ITQ,2020-03-11,1,2020-03-12,Mark Yaroshuk dba Longhouse Construction,Queen Charlotte,"$44,105.00",2020-03-25,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Deck Resurface, Athalmer, Carbon Cr., Fort Steele & Little Fairy",24977MJ0000,MOTITT,2020-03-12,1,2020-03-18,DCL Construction Services Ltd.,Calgary,"$2,560,822.00",2020-03-25,Alberta,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,ZOHO Manage Engine Renewal (Victoria),ITQ-006184,Itq,2020-03-16,0,2020-03-24,ZOHO Corporation,Pleasanton,"$4,027.50",2020-03-25,California,United States
Procurement Services Branch,Ministry of Health,MicroStrategy Annual Maintenance & Support Renewal (Victoria),ITQ-006183,Itq,2020-03-16,0,2020-03-24,MicroStrategy Services Corporation,Tysons Corner,"$94,213.66",2020-03-25,Virginia,United States
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",TELEX IP EQUIPMENT (VICTORIA),ITQ-006185,Itq,2020-03-19,0,2020-03-24,Cartel Communication Systems Inc,Langley,"$63,934.08",2020-03-25,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Cortiana Bridge Construction and Approaches,24798MJ0001,MOTITT,2020-03-06,3,2020-03-19,Coquitlam Ridge Constructors Ltd.,Surrey,"$3,775,617.85",2020-03-26,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Agisoft Metashape Professional license,ITQ-006180,Itq,2020-03-18,0,2020-03-25,Cansel Survey Equipment Inc.,Burnaby,"$29,625.79",2020-03-26,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",FOREST SERVICE ROAD MAINTENANCE SKEENA STIKINE NATURAL RESOURCE ,EN21DSS002,ITT,2020-03-10,0,2020-03-27,West Horizon Contracting Inc,Victoria,"$65,345.50",2020-03-27,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",MAINTENANCE OF THE SUSKWA FSR & SUSKWA MORICETOWN FSR - Skeena,EN21DSS001,ITT,2020-03-12,2,2020-03-27,West Horizon Contracting Inc,Smithers,"$55,860.00",2020-03-27,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Bridge Design, Supply & Install 61-215 at 6.15km Pan Crossig FSR",EN21474-003,ITT,2020-03-19,3,2020-03-24,Heavy Metal Marine Ltd.,Shawnigan Lake,"$1,075,972.00",2020-03-27,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,IBM HACP (Personal Communications) Support Renewal,ITQ-006188,Itq,2020-03-20,0,2020-03-26,GlassHouse Systems Inc.,Toronto,"$12,882.24",2020-03-27,Ontario,Canada
Procurement Services Branch,Ministry of Citizens' Services,CA API Gateway Support Renewal (Prod and Non-Prod),ITQ-006186,Itq,2020-03-24,2,2020-03-26,"CA, Inc",San Jose,"$39,425.00",2020-03-27,California,United States
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Provincial Land Survey Roster,8112018,RQU,2018-11-08,0,2018-12-03,Terra-Pacific Land Surveying Ltd.,Maple Ridge,"$2,500.00",2020-03-30,British Columbia,Canada
"Ministry of Energy, Mines, and Petroleum Resources","Ministry of Energy, Mines, and Petroleum Resources",CleanBC Better Homes - Low-Interest Financing,10707,RFP,2019-09-16,7,2019-09-23,FINANCEIT CANADA INC.,Toronto,$0.00,2020-03-30,Ontario,Canada
Ministry of Transportation – Highway Maintenance,Ministry of Transportation – Highway Maintenance,SRFP for Highway Maintenance Contract Advisory Services,HMCA-01-2020,SRFP,2020-02-19,0,2020-03-04,Black Wolf Consulting Inc,Summerland,"$80,000.00",2020-03-30,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,RFP-IS20IIT027 Natural Gas Pricing System,RFP-IS20IIT027,RFP,2019-12-11,2,2020-01-06,Salus Systems Limited,Victoria,"$75,000.00",2020-03-31,British Columbia,Canada
"Ministry of Energy, Mines, and Petroleum Resources","Ministry of Energy, Mines, and Petroleum Resources",Request for Proposals Go Electric Commercial Vehicle Program,EMPRGECV201904,RFP,2020-02-18,6,2020-02-20,MNP LLP,Vancouver,"$6,000,000.00",2020-03-31,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Supply & Deliver New Steel Pipe (Cranbrook),ITQ-006173,Itq,2020-03-09,1,2020-03-16,TXN Installations Ltd.,Invermere,"$28,652.41",2020-03-31,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Splunk Enterprise Support Renewal,ITQ-006171,Itq,2020-03-12,1,2020-03-16,CDW CANADA CORP.,Toronto,"$14,602.68",2020-03-31,Ontario,Canada
Procurement Services Branch,Ministry of Citizens' Services,CISCO 10GBASE MODULES (VICTORIA),ITQ-006187,Itq,2020-03-20,0,2020-03-26,Telus Communications Inc.,Victoria,"$3,611.06",2020-03-31,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,AccuRoute Support Renewal,ITQ-006189,Itq,2020-03-25,0,2020-03-30,"Upland Software, Inc.",Austin,"$12,734.00",2020-03-31,Texas,United States
